id,lat,lng
0,40.2236,-74.7641
1,40.2236,-74.7641
2,40.2236,-74.7641
3,40.2236,-74.7641
4,40.2236,-74.7641
5,40.2236,-74.7641
6,40.2236,-74.7641
7,40.2236,-74.7641
8,40.2236,-74.7641
9,40.2236,-74.7641
10,40.2236,-74.7641
11,40.2236,-74.7641
12,40.2236,-74.7641
13,40.2236,-74.7641
14,40.2236,-74.7641
15,40.2236,-74.7641
16,40.2236,-74.7641
18,40.2236,-74.7641
19,40.2236,-74.7641
20,40.2236,-74.7641
21,40.2236,-74.7641
22,40.2236,-74.7641
23,40.2236,-74.7641
24,40.2236,-74.7641
25,40.2236,-74.7641
26,40.2236,-74.7641
27,40.2236,-74.7641
28,40.2236,-74.7641
29,40.2236,-74.7641
30,40.2236,-74.7641
32,40.2236,-74.7641
34,40.7245,-74.1725
36,40.7245,-74.1725
37,40.7245,-74.1725
38,40.7245,-74.1725
39,40.7245,-74.1725
40,40.7245,-74.1725
41,40.7245,-74.1725
42,40.7245,-74.1725
43,40.7245,-74.1725
46,40.7245,-74.1725
47,40.7245,-74.1725
48,40.7245,-74.1725
49,40.7245,-74.1725
50,40.7245,-74.1725
51,40.7245,-74.1725
52,40.7245,-74.1725
55,40.7245,-74.1725
57,40.7245,-74.1725
58,40.7245,-74.1725
59,40.7245,-74.1725
60,40.7245,-74.1725
62,40.7245,-74.1725
63,40.7245,-74.1725
64,40.7245,-74.1725
67,40.7245,-74.1725
68,40.7245,-74.1725
69,40.7245,-74.1725
70,40.7245,-74.1725
72,40.7245,-74.1725
73,40.7245,-74.1725
74,40.7245,-74.1725
75,40.7245,-74.1725
76,40.7245,-74.1725
78,40.7245,-74.1725
80,40.7245,-74.1725
82,40.7245,-74.1725
83,40.7245,-74.1725
84,40.7245,-74.1725
85,40.7245,-74.1725
86,40.7245,-74.1725
90,40.7245,-74.1725
91,40.7245,-74.1725
93,40.7245,-74.1725
94,40.7245,-74.1725
96,40.7245,-74.1725
98,40.7245,-74.1725
99,40.7245,-74.1725
100,40.7245,-74.1725
101,40.7245,-74.1725
102,40.7245,-74.1725
104,40.7245,-74.1725
105,40.7245,-74.1725
106,40.7245,-74.1725
107,40.7245,-74.1725
109,40.7245,-74.1725
110,40.7245,-74.1725
111,40.7245,-74.1725
113,40.7245,-74.1725
117,40.7245,-74.1725
118,40.7245,-74.1725
119,40.7245,-74.1725
120,40.7245,-74.1725
121,40.7245,-74.1725
123,40.7245,-74.1725
125,40.7245,-74.1725
127,40.7245,-74.1725
128,40.7245,-74.1725
129,40.7245,-74.1725
130,40.7245,-74.1725
131,40.7245,-74.1725
132,40.7245,-74.1725
133,40.7245,-74.1725
134,40.7245,-74.1725
136,40.7245,-74.1725
137,40.7245,-74.1725
138,40.7245,-74.1725
140,40.7245,-74.1725
142,40.7245,-74.1725
143,40.7245,-74.1725
144,40.7245,-74.1725
145,40.7245,-74.1725
146,40.7245,-74.1725
147,40.7245,-74.1725
148,40.7245,-74.1725
150,40.7245,-74.1725
151,40.7245,-74.1725
152,40.7245,-74.1725
153,40.7245,-74.1725
156,40.7245,-74.1725
157,40.7245,-74.1725
158,40.7245,-74.1725
