evt,grp,lnk,attendees,maploc,city,subcity,state,street,subcity_lat,subcity_lng,city_id
START THE NEW YEAR WITH ART - Free One Day Pass to Grounds For Sculpture Today ,Central Jersey 56 Plus,https://www.meetup.com/CJ-56plus/events/275689348,1,https://www.google.com/maps/search/api=1&query=40.236970%2C-74.719210,Trenton,Hamilton Township,NJ,80 Sculptors Way,40.208655,-74.03218299999999,0
Secrets of the Battle of Princeton: History and Nature Walk,Secrets of the Battle of Princeton Tours,https://www.meetup.com/Secrets-of-the-Princeton-Battlefield-Tours/events/272652579,20,https://www.google.com/maps/search/api=1&query=40.331272%2C-74.676640,Trenton,Princeton,NJ,500 Mercer St ,40.348441799999996,-74.6638321,0
Big Ballroom Wednesdays Latin Dancing @ La Luna,Social and Like Dancing - Philly,https://www.meetup.com/phillysocialmeetup/events/275791957,1,https://www.google.com/maps/search/api=1&query=La+Luna+Dance+Studio%2C+4010+New+Falls+Rd%2C+Bristol%2C+PA%2C+19007%2C+us&query_place_id=ChIJMZ1FnaFNwYkRmBVX-VDCew0,Trenton,Bristol,PA,4010 New Falls Rd,40.133675,-74.885545,1
Charity Sewing in Yardley,Charity Sewing Meetup,https://www.meetup.com/Charity-Sewing-Meetup/events/275729128,1,https://www.google.com/maps/search/api=1&query=40.260494%2C-74.871658,Trenton,Morrisville,PA,26 Delaware Rim Dr,40.261702,-74.87226899999999,1
"LBNA - FALLS, PA MEETS EVERY WEDNESDAY 12:30PM -01:30PM",Lower Bucks Networking Association Meetup Group,https://www.meetup.com/Lower-Bucks-Networking-Association-Meetup-Group/events/275723285,4,https://www.google.com/maps/search/api=1&query=40.187866%2C-74.828094,Trenton,Fairless Hills,PA,980 Trenton Rd,41.690349,-78.65733900000001,1
Become a leader and improve your communication skills,Lawrenceville Toastmasters - Public Speaking/Leadership,https://www.meetup.com/HDR-Lawrenceville-Toastmasters/events/275511497,3,https://www.google.com/maps/search/api=1&query=2000+Lenox+Drive+%2C+Lawrence+Township%2C+nj%2C+08648%2C+us,Trenton,Lawrence Township,NJ,2000 Lenox Drive ,40.29554,-74.72036999999999,0
Join us for Breakfast and bring plenty of Business Cards!,LeTip of Newtown,https://www.meetup.com/LeTip-of-Newtown/events/275744907,1,https://www.google.com/maps/search/api=1&query=82+East+Afton+Avenue%2C+Yardley%2C+PA%2C+19067%2C+us,Trenton,Yardley,PA,82 East Afton Avenue,40.24454,-74.83671,1
How to Get Started In Real Estate and Stock Option Investing,Crazy Real Estate Investors,https://www.meetup.com/Crazy-Real-Estate-Investors/events/275766407,4,https://www.google.com/maps/search/api=1&query=108+Corporate+Dr%2C+Langhorne%2C+PA%2C+us,Trenton,Langhorne,PA,108 Corporate Dr,40.83636,-75.701258,1
Free Hard Networking Group w/ 26 Members - Looking For New Members,Lower Bucks Business Connections,https://www.meetup.com/Lower-Bucks-Business-Connections/events/275723447,1,https://www.google.com/maps/search/api=1&query=1262+Wood+Lane++Ste+106%2F107%2C+Langhorne%2C+PA%2C+us,Trenton,Langhorne,PA,1262 Wood Lane  Ste 106/107,40.848217,-75.70739300000001,1
Letip of Newtown,Philly Biz Connects,https://www.meetup.com/phillybizconnects/events/275744894,1,https://www.google.com/maps/search/api=1&query=40.244896%2C-74.836647,Trenton,Yardley,PA,82 E Afton Ave,40.24454,-74.83671,1
Hoboken Critical Mass Light Up The Night Bike Tour,Hoboken Bicycling Meetup,https://www.meetup.com/Hoboken-Bicycling-Meetup/events/275420479,9,https://www.google.com/maps/search/api=1&query=901+Park+Ave%2C+901+Park+Ave%2C+Hoboken%2C+NJ%2C+07030%2C+us&query_place_id=ChIJyS2VDmJXwokR-pkTQhFPc6Q,Newark,Hoboken,NJ,901 Park Ave,40.7433066,-74.0323752,2
Critical Mass NYC / NJ - January 2021,Critical Mass NYC / NJ,https://www.meetup.com/Critical-Mass-NYC-NJ/events/274151373,3,https://www.google.com/maps/search/api=1&query=40.747830%2C-74.030460,Newark,Hoboken,NJ,901 Park Ave,40.7433066,-74.0323752,2
Brooklyn Bridge & Brooklyn Promenade Walk,Shorewalkers,https://www.meetup.com/shorewalkers-members-only/events/275776633,22,https://www.google.com/maps/search/api=1&query=Millennium+Hilton+New+York+Downtown%2C+55+Church+St%2C+New+York%2C+NY%2C+10007%2C+us&query_place_id=ChIJh-L3uxlawokRDwLmkKwLIvY,Newark,New York,NY,55 Church St,40.7127281,-74.0060152,3
"Newark Community Cycling Group Ride. This is a non-drop ride, discover NEWARK ",Outdoor Adventure Sports,https://www.meetup.com/outdooradventuresports/events/275756314,1,https://www.google.com/maps/search/api=1&query=14+Rector+Street%2C+Newark%2C+nj%2C+07102%2C+us,Newark,Newark,NJ,14 Rector Street,40.740752,-74.168407,2
Monthly meeting and Trip planning,New York Caving Meetup Group,https://www.meetup.com/New-York-Cavers/events/275376807,6,https://www.google.com/maps/search/api=1&query=40.735905%2C-74.006180,Newark,New York,NY,  569 Hudson St,40.735845,-74.00596,3
Hudson Walkway Loop/Reese Park Social Distancing 6 Mile Hike/Walk,"New York Hikes, Happy Hours & Outdoor Adventures",https://www.meetup.com/New-York-Hikes-Happy-Hours-and-Outdoor-Adventures/events/275555724,1,https://www.google.com/maps/search/api=1&query=Your+Guide+will+meet+you+when+you+get+out+from+the+train+at+Poughkeepsie%2C+New+York%2C+NY%2C+us,Newark,New York,NY,Your Guide will meet you when you get out from the train at Poughkeepsie,40.709686,-74.011674,3
