event_name,group_name,attendees,venue_event_link,event_state,event_city,event_street,Google_Map_Link,event_lat,event_lng,address,region_id
Eagle Rock Reservation,Let's Walk!!,5,https://www.meetup.com/Lets-WalkProgram/events/275255298,NJ,West Orange,Prospect & Eagle Rock Ave,https://www.google.com/maps/search/api=1&query=40.802940%2C-74.247757,40.786867,-74.23184499999998,"Prospect & Eagle Rock Ave,West Orange,NJ",37
Spring Co-ed Sand Volleyball Leagues Forming Now,NJPlaySports,1,https://www.meetup.com/njplaysports/events/275714654,NJ,Totowa,754 Totowa Rd,https://www.google.com/maps/search/api=1&query=40.911366%2C-74.223923,40.8955159,-74.23212209999998,"754 Totowa Rd,Totowa,NJ",33
Sunday Run - Tenafly - meet Federico,Palisades Running Club,9,https://www.meetup.com/Palisades-Running-Club/events/275426510,NJ,tenafly,Jefferson and virgiinia street ,https://www.google.com/maps/search/api=1&query=40.928574%2C-73.970856,40.930454,-73.971203,"Jefferson and virgiinia street ,tenafly,NJ",38
Sunday Tennis At Tiger,Tennis Buffs Meetup Group,1,https://www.meetup.com/tennis-354/events/275784079,NJ,West Caldwell,42 Fairfield Place,https://www.google.com/maps/search/api=1&query=42+Fairfield+Place%2C+West+Caldwell%2C+NJ%2C+07006%2C+us,40.867304,-74.292023,"42 Fairfield Place,West Caldwell,NJ",36
Socrates Cafe,"Socrates Cafe of Teaneck, NJ",5,https://www.meetup.com/Socrates-Cafe-Teaneck/events/275419550,NJ,Teaneck,687 Larch Ave,https://www.google.com/maps/search/api=1&query=40.888088%2C-74.026237,40.8976,-74.01597,"687 Larch Ave,Teaneck,NJ",32
Virtual Hiring Event,Bergen Community College Education and Events,1,https://www.meetup.com/Bergen-Community-College-Education-and-Events/events/275611670,NJ,Paramus,400 Paramus Rd,https://www.google.com/maps/search/api=1&query=Bergen+Community+College%2C+400+Paramus+Rd%2C+Paramus%2C+NJ%2C+07652%2C+us&query_place_id=ChIJZwh91yL7wokRGaHKfmSoAqs,40.9177891,-74.0725437,"400 Paramus Rd,Paramus,NJ",30
Raise Funds & Spirits! Lincoln Day Dinner 2021,Dennis Prager Fan Club,1,https://www.meetup.com/dennis-prager-fan-club/events/275773533,NJ,Fairfield,118 US-46,https://www.google.com/maps/search/api=1&query=40.869053%2C-74.307460,40.2050878,-74.2135004,"118 US-46,Fairfield,NJ",20
Free Poker Thursday- Blvd Bar & Grill - $25 Gift Certificate & More!,WorldFreePoker.com,1,https://www.meetup.com/worldfreepoker/events/275779318,NJ,Elmwood Park,401 Boulevard,https://www.google.com/maps/search/api=1&query=40.904423%2C-74.118065,40.914049,-74.1244709,"401 Boulevard,Elmwood Park,NJ",18
Helix eSports Fortnite Friday - Squads Tournament ,Fortnite Friday Zone Wars NYC/NJ,1,https://www.meetup.com/Fortnite-NYC-NJ-Zone-Wars/events/275796010,NJ,North Bergen,3167 John F. Kennedy Blvd,https://www.google.com/maps/search/api=1&query=Helix+eSports+North+Bergen%2C+3167+John+F.+Kennedy+Blvd%2C+North+Bergen%2C+NJ%2C+07047%2C+us&query_place_id=ChIJOXjOj59XwokRB9sLlJpqFTY,40.775182,-74.03228399999998,"3167 John F. Kennedy Blvd,North Bergen,NJ",28
Conversemos (Let's Talk),The Ethical Culture Society of Bergen County,5,https://www.meetup.com/EthicalFocus/events/275399209,NJ,Teaneck,687 Larch Ave,https://www.google.com/maps/search/api=1&query=40.888090%2C-74.026240,40.8976,-74.01597,"687 Larch Ave,Teaneck,NJ",32
Meditation/book reading/discussion ,New Jersey Center for Inquiry into Spiritual Awakening,1,https://www.meetup.com/Center-for-Inquiry-into-Awakening-New-Jersey/events/275787186,NJ,Upper Montclair,Bellevue avenue,https://www.google.com/maps/search/api=1&query=Bellevue+avenue%2C+Upper+Montclair%2C+NJ%2C+us,40.841337,-74.209114,"Bellevue avenue,Upper Montclair,NJ",35
Public Conference in English,A.I.G.A. American Institute of Gnostic Anthropology,2,https://www.meetup.com/A-I-G-A-American-Institute-of-Gnostic-Anthropology/events/275664323,NJ,UNION CITY,507 43RD TS. 7th floor,https://www.google.com/maps/search/api=1&query=507+43RD+TS.+7th+floor%2C+UNION+CITY%2C+nj%2C+07087%2C+us,40.756548,-74.039673,"507 43RD TS. 7th floor,UNION CITY,NJ",34
2021 MEDIUMSHIP TRAINING PROGRAM - YEAR 1 COURSE (see dates in description),Inner Spiritual Center Meetup,1,https://www.meetup.com/Inner-Spiritual-Center-Meetup/events/271847355,NJ,Fairfield,333A Route 46 West Suite 255,https://www.google.com/maps/search/api=1&query=40.880180%2C-74.296135,40.879828,-74.29535,"333A Route 46 West Suite 255,Fairfield,NJ",20
BYOB PAINT NIGHT ,Art Parties and Art Therapy,1,https://www.meetup.com/fairview-art-therapy-meetup-group/events/275774394,NJ,Fairview,394 Walker St,https://www.google.com/maps/search/api=1&query=40.817436%2C-73.996670,39.3742152,-75.1033108,"394 Walker St,Fairview,NJ",21
Daytime Ballroom Social,The New York Ballroom Dance Meetup,1,https://www.meetup.com/ny-ballroom-dance/events/275726732,NJ,Nutley,7 High St,https://www.google.com/maps/search/api=1&query=Starlight+Dance+Center%2C+7+High+St%2C+Nutley%2C+NJ%2C+07110%2C+us&query_place_id=ChIJozXc0mX_wokRFtJd-Zo17q0,40.8223223,-74.15986629999998,"7 High St,Nutley,NJ",29
Tango Lessons first 2 Free! with Jon Tariq's available for Tango lesson in NJ,Tango Date NYC,1,https://www.meetup.com/Tango-Date-NYC/events/275748706,NJ,Paramus,54 S Farview Ave,https://www.google.com/maps/search/api=1&query=Paramus+Fire+Dept+Company+4%2C+54+S+Farview+Ave%2C+Paramus%2C+NJ%2C+07652%2C+us&query_place_id=ChIJkXs371H6wokRqjgKf_KmGGk,40.916282,-74.069991,"54 S Farview Ave,Paramus,NJ",30
TUESDAY MASH! Social Dance Party in Edgewater NJ (Open Level),"Latin Dance Parties & Events in Bergen County, NJ!!!!",1,https://www.meetup.com/Ballroom-Latin-Social-Group-Edgewater/events/275737276,NJ,Edgewater,986 River Road,https://www.google.com/maps/search/api=1&query=40.828796%2C-73.972725,40.8270448,-73.97569399999998,"986 River Road,Edgewater,NJ",17
Looking to Grow via Referrals,BNI Achieving Advantage,1,https://www.meetup.com/BNI-Achieving-Advantage/events/275744895,NJ,Hackensack,515 Essex St,https://www.google.com/maps/search/api=1&query=Chit+Chat+Diner%2C+515+Essex+St%2C+Hackensack%2C+NJ%2C+07601%2C+us&query_place_id=ChIJvfk0xCf6wokRkfD7x3ngW7M,40.7322898,-74.11718990000001,"515 Essex St,Hackensack,NJ",22
Career Transition - Finding the Next Career!,Financial Freedom and Careers to Create Wealth,1,https://www.meetup.com/Financial-Freedom-and-Careers-to-Create-Wealth/events/275757852,NJ,Fairfield,55 Lane Rd,https://www.google.com/maps/search/api=1&query=40.894669%2C-74.277260,40.2050878,-74.2135004,"55 Lane Rd,Fairfield,NJ",20
Weekly Networking Breakfast ,Saddle Brook Small Business Meetup,1,https://www.meetup.com/Saddle-Brook-Small-Business-Meetup/events/275745091,NJ,Maywood,92 West Pleasant Avenue,https://www.google.com/maps/search/api=1&query=92+West+Pleasant+Avenue%2C+Maywood%2C+NJ%2C+07607%2C+us,40.905291,-74.06370600000002,"92 West Pleasant Avenue,Maywood,NJ",25
skunkworks v2,"Fair Lawn - Fun, Networking, Startup, & Education",1,https://www.meetup.com/Fair-Lawn-Fun-Networking-Startup-Education/events/275705565,NJ,Fair Lawn,25 Promenade Blvd,https://www.google.com/maps/search/api=1&query=25+Promenade+Blvd%2C+Fair+Lawn%2C+nj%2C+07410%2C+us,40.925782,-73.964219,"25 Promenade Blvd,Fair Lawn,NJ",19
 Successfully  Speaking Toastmasters Club.  2nd & 4th wed of the month!,Successfully Speaking Toastmasters Meetup,1,https://www.meetup.com/Newark-Toastmasters-Successfully-Speaking-Meetup/events/275756621,NJ,Newark,183 So Orange Avenue,https://www.google.com/maps/search/api=1&query=40.739254%2C-74.189957,40.738743,-74.19006,"183 So Orange Avenue,Newark,NJ",27
SPEAKW Support group for Alienated Parents ,South Jersey SPEAKW Parental Alienation Meetup,2,https://www.meetup.com/Burlington-SPEAKW-Parental-Alienation-Meetup/events/275767808,NJ,Cherry Hill,2100 Rte 70 W,https://www.google.com/maps/search/api=1&query=39.922882%2C-75.034752,39.9348351,-75.0307264,"2100 Rte 70 W,Cherry Hill,NJ",14
Nonviolent Communication Practice Group,Heart to Heart,1,https://www.meetup.com/Connecting-Heart-to-Heart/events/275725138,NJ,Merchantville,36 W Maple Ave,https://www.google.com/maps/search/api=1&query=39.949665%2C-75.051659,39.9506547,-75.04911870000002,"36 W Maple Ave,Merchantville,NJ",15
Women's A Cappella Group - Singers Wanted!,Jersey Sound Chorus Women's A Cappella Harmony Meetup,1,https://www.meetup.com/Jersey-Sound-Chorus-Womens-A-Cappella-Harmony-Meetup/events/275757933,NJ,Cherry Hill,1920 Old Cuthbert Rd,https://www.google.com/maps/search/api=1&query=39.917419%2C-74.975105,39.916586,-74.97556,"1920 Old Cuthbert Rd,Cherry Hill,NJ",14
Putting Together Meals for Camden Needy,AQUA CORPS (Adult Quest for Unity and Altruism),2,https://www.meetup.com/AQUACORPS/events/275653512,NJ,Camden,422 Market Street,https://www.google.com/maps/search/api=1&query=39.945620%2C-75.121820,39.9448402,-75.11989109999998,"422 Market Street,Camden,NJ",13
Shamanic Journeying Circle,Shamanic Journeying Circle,3,https://www.meetup.com/Shamanic-Journeying-Circle/events/275790963,NJ,Cherry Hill,401 N. Kings Highway,https://www.google.com/maps/search/api=1&query=401+N.+Kings+Highway%2C+Cherry+Hill%2C+NJ%2C+08034%2C+us,39.928311,-74.994551,"401 N. Kings Highway,Cherry Hill,NJ",14
UNCANNY VALLEY- Anna Wiener book discussion,Cherry Hill Feminist Book Club,8,https://www.meetup.com/Cherry-Hill-Feminist-Book-Club/events/275090794,NJ,Cherry Hill,1100 Kings Highway North,https://www.google.com/maps/search/api=1&query=1100+Kings+Highway+North%2C+Cherry+Hill%2C+NJ%2C+08002%2C+us,39.903963,-75.02131700000002,"1100 Kings Highway North,Cherry Hill,NJ",14
"Bachata Obsessions ""January Ball"" @ The Stardust",Social and Like Dancing - Philly,5,https://www.meetup.com/phillysocialmeetup/events/275254096,NJ,Bellmawr,363 W Browning Rd,https://www.google.com/maps/search/api=1&query=39.869980%2C-75.094635,39.869579,-75.094949,"363 W Browning Rd,Bellmawr,NJ",12
3rd Wednesday Game Night ,The Lonely Island,5,https://www.meetup.com/The-Lonely-Island/events/274678745,NJ,Pennsauken Township,1585 NJ-73,https://www.google.com/maps/search/api=1&query=39.984707%2C-75.020569,39.960107,-75.0490488,"1585 NJ-73,Pennsauken Township,NJ",16
SCUBA Discovery Experience,NJ  Scuba Meetup Group,5,https://www.meetup.com/scuba-nj/events/275651699,NJ,Lodi,460 Passaic Avenue,https://www.google.com/maps/search/api=1&query=40.872900%2C-74.089140,40.8589384,-74.1110604,"460 Passaic Avenue,Lodi,NJ",160
Nitrox Diver Course,NJ Warren Scuba Group,1,https://www.meetup.com/Scuba-Divers-Travel-Network-SDTN/events/275158311,NJ,Lodi,460 Passaic Avenue,https://www.google.com/maps/search/api=1&query=40.872580%2C-74.089320,40.8589384,-74.1110604,"460 Passaic Avenue,Lodi,NJ",160
Hoboken Critical Mass Light Up The Night Bike Tour,Hoboken Bicycling Meetup,9,https://www.meetup.com/Hoboken-Bicycling-Meetup/events/275420479,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/api=1&query=901+Park+Ave%2C+901+Park+Ave%2C+Hoboken%2C+NJ%2C+07030%2C+us&query_place_id=ChIJyS2VDmJXwokR-pkTQhFPc6Q,40.7433066,-74.0323752,"901 Park Ave,Hoboken,NJ",158
Critical Mass NYC / NJ - January 2021,Critical Mass NYC / NJ,3,https://www.meetup.com/Critical-Mass-NYC-NJ/events/274151373,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/api=1&query=40.747830%2C-74.030460,40.7433066,-74.0323752,"901 Park Ave,Hoboken,NJ",158
"Newark Community Cycling Group Ride. This is a non-drop ride, discover NEWARK ",Outdoor Adventure Sports,1,https://www.meetup.com/outdooradventuresports/events/275756314,NJ,Newark,14 Rector Street,https://www.google.com/maps/search/api=1&query=14+Rector+Street%2C+Newark%2C+nj%2C+07102%2C+us,40.740752,-74.168407,"14 Rector Street,Newark,NJ",164
Eagle Rock Reservation bring a newbie beginner 4-5 miles,Trail Shrinks,24,https://www.meetup.com/trailshrinks/events/275798719,NJ,West Orange,Crest Dr,https://www.google.com/maps/search/api=1&query=40.810840%2C-74.234490,40.80339420000001,-74.2382416,"Crest Dr,West Orange,NJ",176
West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275746658,NJ,West Orange,253 Main St,https://www.google.com/maps/search/api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"253 Main St,West Orange,NJ",176
Prenatal Yoga and Meditation,West Orange Pregnancy Meetup,1,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275737290,NJ,West Orange,253 Main St,https://www.google.com/maps/search/api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"253 Main St,West Orange,NJ",176
Relationship Boot Camp,"Relationship Boot Camp in Ridgewood, NJ",3,https://www.meetup.com/relationship-boot-camp-support-group-in-ridgewood-nj/events/275056117,NJ,Ridgewood,14 Hope Street,https://www.google.com/maps/search/api=1&query=40.977993%2C-74.112340,40.978047,-74.11216,"14 Hope Street,Ridgewood,NJ",168
Experience Pranic Healing and Meditation on Twin Hearts,Meditation on Twin Hearts,2,https://www.meetup.com/meetup-group-ZVKtzOVt/events/275758899,NJ,Lyndhurst,"420 Valley Brook Avenue, Lyndhurst 07071",https://www.google.com/maps/search/api=1&query=420+Valley+Brook+Avenue%2C+Lyndhurst+07071%2C+Lyndhurst%2C+NJ%2C+us,40.8094,-74.1245,"420 Valley Brook Avenue, Lyndhurst 07071,Lyndhurst,NJ",161
Kundalini Yoga and Meditation,Montclair NJ Kundalini Yoga and Meditation Meetup Group,1,https://www.meetup.com/Montclair-NJ-Kundalini-Yoga-and-Meditation-Meetup-Group/events/275726675,NJ,Montclair,127 Valley Road,https://www.google.com/maps/search/api=1&query=40.821861%2C-74.219841,40.8164458,-74.2210643,"127 Valley Road,Montclair,NJ",163
Eagle Rock Reservation,Let's Walk!!,5,https://www.meetup.com/Lets-WalkProgram/events/275255298,NJ,West Orange,Prospect & Eagle Rock Ave,https://www.google.com/maps/search/api=1&query=40.802940%2C-74.247757,40.786867,-74.23184499999998,"Prospect & Eagle Rock Ave,West Orange,NJ",176
Spring Co-ed Sand Volleyball Leagues Forming Now,NJPlaySports,1,https://www.meetup.com/njplaysports/events/275714654,NJ,Totowa,754 Totowa Rd,https://www.google.com/maps/search/api=1&query=40.911366%2C-74.223923,40.8955159,-74.23212209999998,"754 Totowa Rd,Totowa,NJ",171
Sunday Run - Tenafly - meet Federico,Palisades Running Club,9,https://www.meetup.com/Palisades-Running-Club/events/275426510,NJ,tenafly,Jefferson and virgiinia street ,https://www.google.com/maps/search/api=1&query=40.928574%2C-73.970856,40.930454,-73.971203,"Jefferson and virgiinia street ,tenafly,NJ",177
Winter pool session,New York Kayak Polo,7,https://www.meetup.com/NYkayakpolo/events/275524265,NJ,Jersey City,870 Montgomery St,https://www.google.com/maps/search/api=1&query=40.727726%2C-74.073105,40.726563,-74.070814,"870 Montgomery St,Jersey City,NJ",159
HOBOKEN Fun Run Sponsored by Athleta Hoboken,Jersey City Slow AF Run Club,5,https://www.meetup.com/Jersey-City-Slow-AF-Run-Club/events/275747847,NJ,Hoboken,316 Washington St,https://www.google.com/maps/search/api=1&query=40.740707%2C-74.030310,40.7433066,-74.0323752,"316 Washington St,Hoboken,NJ",158
Sunday Tennis At Tiger,Tennis Buffs Meetup Group,1,https://www.meetup.com/tennis-354/events/275784079,NJ,West Caldwell,42 Fairfield Place,https://www.google.com/maps/search/api=1&query=42+Fairfield+Place%2C+West+Caldwell%2C+NJ%2C+07006%2C+us,40.867304,-74.292023,"42 Fairfield Place,West Caldwell,NJ",175
Socrates Cafe,"Socrates Cafe of Teaneck, NJ",5,https://www.meetup.com/Socrates-Cafe-Teaneck/events/275419550,NJ,Teaneck,687 Larch Ave,https://www.google.com/maps/search/api=1&query=40.888088%2C-74.026237,40.8976,-74.01597,"687 Larch Ave,Teaneck,NJ",170
Virtual Hiring Event,Bergen Community College Education and Events,1,https://www.meetup.com/Bergen-Community-College-Education-and-Events/events/275611670,NJ,Paramus,400 Paramus Rd,https://www.google.com/maps/search/api=1&query=Bergen+Community+College%2C+400+Paramus+Rd%2C+Paramus%2C+NJ%2C+07652%2C+us&query_place_id=ChIJZwh91yL7wokRGaHKfmSoAqs,40.9177891,-74.0725437,"400 Paramus Rd,Paramus,NJ",167
New Year Wine & Design Wine glass painting),New Jersey Foodies & Drinkies,6,https://www.meetup.com/New-Jersey-Foodies-Drinkies/events/275313732,NJ,Secaucus,151 Front St,https://www.google.com/maps/search/api=1&query=40.790756%2C-74.058950,40.790722,-74.058921,"151 Front St,Secaucus,NJ",169
Lets meet some wolves ,A little bit of this and a little of that,26,https://www.meetup.com/A-little-bit-of-this-and-a-little-of-that/events/275427276,NJ,Columbia,89 Mount Pleasant Road,https://www.google.com/maps/search/api=1&query=89+Mount+Pleasant+Road%2C+Columbia%2C+NJ%2C+07832%2C+us,39.6378952,-74.6987704,"89 Mount Pleasant Road,Columbia,NJ",151
Harmony Celebration Chorus Rehearsal,Harmony Celebration Chorus,2,https://www.meetup.com/HarmonyCelebrationChorus/events/275740867,NJ,Ridgewood,475 Grove Street,https://www.google.com/maps/search/api=1&query=40.968361%2C-74.108078,40.97966829999999,-74.1194403,"475 Grove Street,Ridgewood,NJ",168
"Tuesdays are our regularly scheduled rehearsals, guests are welcome.",Dapper Dans of Harmony,2,https://www.meetup.com/Dapper-Dans-of-Harmony/events/275734985,NJ,Caldwell,326 Bloomfield Ave,https://www.google.com/maps/search/api=1&query=326+Bloomfield+Ave%2C+Caldwell%2C+NJ%2C+us,40.8338301,-74.27274940000002,"326 Bloomfield Ave,Caldwell,NJ",149
Fridays at Clifton City Tavern Mexican Cantina ,North Jersey Karaoke Klub,1,https://www.meetup.com/North-Jersey-Karaoke-Klub/events/275790160,NJ,Clifton,709 Van Houten Ave,https://www.google.com/maps/search/api=1&query=40.859829%2C-74.151382,40.869398,-74.168913,"709 Van Houten Ave,Clifton,NJ",150
Raise Funds & Spirits! Lincoln Day Dinner 2021,Dennis Prager Fan Club,1,https://www.meetup.com/dennis-prager-fan-club/events/275773533,NJ,Fairfield,118 US-46,https://www.google.com/maps/search/api=1&query=40.869053%2C-74.307460,40.2050878,-74.2135004,"118 US-46,Fairfield,NJ",155
Helix eSports Fortnite Friday - Squads Tournament ,Fortnite Friday Zone Wars NYC/NJ,1,https://www.meetup.com/Fortnite-NYC-NJ-Zone-Wars/events/275796010,NJ,North Bergen,3167 John F. Kennedy Blvd,https://www.google.com/maps/search/api=1&query=Helix+eSports+North+Bergen%2C+3167+John+F.+Kennedy+Blvd%2C+North+Bergen%2C+NJ%2C+07047%2C+us&query_place_id=ChIJOXjOj59XwokRB9sLlJpqFTY,40.775182,-74.03228399999998,"3167 John F. Kennedy Blvd,North Bergen,NJ",165
Free Poker Thursday- Blvd Bar & Grill - $25 Gift Certificate & More!,WorldFreePoker.com,1,https://www.meetup.com/worldfreepoker/events/275779318,NJ,Elmwood Park,401 Boulevard,https://www.google.com/maps/search/api=1&query=40.904423%2C-74.118065,40.914049,-74.1244709,"401 Boulevard,Elmwood Park,NJ",153
Conversemos (Let's Talk),The Ethical Culture Society of Bergen County,5,https://www.meetup.com/EthicalFocus/events/275399209,NJ,Teaneck,687 Larch Ave,https://www.google.com/maps/search/api=1&query=40.888090%2C-74.026240,40.8976,-74.01597,"687 Larch Ave,Teaneck,NJ",170
Meditation/book reading/discussion ,New Jersey Center for Inquiry into Spiritual Awakening,1,https://www.meetup.com/Center-for-Inquiry-into-Awakening-New-Jersey/events/275787186,NJ,Upper Montclair,Bellevue avenue,https://www.google.com/maps/search/api=1&query=Bellevue+avenue%2C+Upper+Montclair%2C+NJ%2C+us,40.841337,-74.209114,"Bellevue avenue,Upper Montclair,NJ",173
Public Conference in English,A.I.G.A. American Institute of Gnostic Anthropology,2,https://www.meetup.com/A-I-G-A-American-Institute-of-Gnostic-Anthropology/events/275664323,NJ,UNION CITY,507 43RD TS. 7th floor,https://www.google.com/maps/search/api=1&query=507+43RD+TS.+7th+floor%2C+UNION+CITY%2C+nj%2C+07087%2C+us,40.756548,-74.039673,"507 43RD TS. 7th floor,UNION CITY,NJ",172
2021 MEDIUMSHIP TRAINING PROGRAM - YEAR 1 COURSE (see dates in description),Inner Spiritual Center Meetup,1,https://www.meetup.com/Inner-Spiritual-Center-Meetup/events/271847355,NJ,Fairfield,333A Route 46 West Suite 255,https://www.google.com/maps/search/api=1&query=40.880180%2C-74.296135,40.879828,-74.29535,"333A Route 46 West Suite 255,Fairfield,NJ",155
BYOB PAINT NIGHT ,Art Parties and Art Therapy,1,https://www.meetup.com/fairview-art-therapy-meetup-group/events/275774394,NJ,Fairview,394 Walker St,https://www.google.com/maps/search/api=1&query=40.817436%2C-73.996670,39.3742152,-75.1033108,"394 Walker St,Fairview,NJ",156
Daytime Ballroom Social,The New York Ballroom Dance Meetup,1,https://www.meetup.com/ny-ballroom-dance/events/275726732,NJ,Nutley,7 High St,https://www.google.com/maps/search/api=1&query=Starlight+Dance+Center%2C+7+High+St%2C+Nutley%2C+NJ%2C+07110%2C+us&query_place_id=ChIJozXc0mX_wokRFtJd-Zo17q0,40.8223223,-74.15986629999998,"7 High St,Nutley,NJ",166
Tango Lessons first 2 Free! with Jon Tariq's available for Tango lesson in NJ,Tango Date NYC,1,https://www.meetup.com/Tango-Date-NYC/events/275748706,NJ,Paramus,54 S Farview Ave,https://www.google.com/maps/search/api=1&query=Paramus+Fire+Dept+Company+4%2C+54+S+Farview+Ave%2C+Paramus%2C+NJ%2C+07652%2C+us&query_place_id=ChIJkXs371H6wokRqjgKf_KmGGk,40.916282,-74.069991,"54 S Farview Ave,Paramus,NJ",167
TUESDAY MASH! Social Dance Party in Edgewater NJ (Open Level),"Latin Dance Parties & Events in Bergen County, NJ!!!!",1,https://www.meetup.com/Ballroom-Latin-Social-Group-Edgewater/events/275737276,NJ,Edgewater,986 River Road,https://www.google.com/maps/search/api=1&query=40.828796%2C-73.972725,40.8270448,-73.97569399999998,"986 River Road,Edgewater,NJ",152
In person Sensual Bachata ,"Bachata in TRI-STATE AREA (LI, NJ, NY, CT)",1,https://www.meetup.com/NYC-Bachata-Meet-Up-Bachata-New-York-City/events/275793305,NJ,Hoboken,300 Observer Hwy,https://www.google.com/maps/search/api=1&query=40.736469%2C-74.035339,40.736194,-74.035038,"300 Observer Hwy,Hoboken,NJ",158
Disney Pin Trading at Paramus Park Mall!!!,North Jersey Disney Pin Traders,1,https://www.meetup.com/North-Jersey-Disney-Pin-Traders/events/275794699,NJ,Paramus,between Rt 17 North and from road.(Just of the GSP),https://www.google.com/maps/search/api=1&query=between+Rt+17+North+and+from+road.%28Just+of+the+GSP%29%2C+Paramus%2C+NJ%2C+us,40.957982,-74.074625,"between Rt 17 North and from road.(Just of the GSP),Paramus,NJ",167
Chess Meetup!  - Play Hoboken! ,"Coffee, Beer and Chess - Jersey City/Hoboken",4,https://www.meetup.com/jerseychess/events/275648165,NJ,Hoboken,1012 Grand St,https://www.google.com/maps/search/api=1&query=40.750076%2C-74.032990,40.7497539,-74.0330179,"1012 Grand St,Hoboken,NJ",158
Looking to Grow via Referrals,BNI Achieving Advantage,1,https://www.meetup.com/BNI-Achieving-Advantage/events/275744895,NJ,Hackensack,515 Essex St,https://www.google.com/maps/search/api=1&query=Chit+Chat+Diner%2C+515+Essex+St%2C+Hackensack%2C+NJ%2C+07601%2C+us&query_place_id=ChIJvfk0xCf6wokRkfD7x3ngW7M,40.7322898,-74.11718990000001,"515 Essex St,Hackensack,NJ",157
Weekly Networking Breakfast ,Saddle Brook Small Business Meetup,1,https://www.meetup.com/Saddle-Brook-Small-Business-Meetup/events/275745091,NJ,Maywood,92 West Pleasant Avenue,https://www.google.com/maps/search/api=1&query=92+West+Pleasant+Avenue%2C+Maywood%2C+NJ%2C+07607%2C+us,40.905291,-74.06370600000002,"92 West Pleasant Avenue,Maywood,NJ",162
Career Transition - Finding the Next Career!,Financial Freedom and Careers to Create Wealth,1,https://www.meetup.com/Financial-Freedom-and-Careers-to-Create-Wealth/events/275757852,NJ,Fairfield,55 Lane Rd,https://www.google.com/maps/search/api=1&query=40.894669%2C-74.277260,40.2050878,-74.2135004,"55 Lane Rd,Fairfield,NJ",155
skunkworks v2,"Fair Lawn - Fun, Networking, Startup, & Education",1,https://www.meetup.com/Fair-Lawn-Fun-Networking-Startup-Education/events/275705565,NJ,Fair Lawn,25 Promenade Blvd,https://www.google.com/maps/search/api=1&query=25+Promenade+Blvd%2C+Fair+Lawn%2C+nj%2C+07410%2C+us,40.925782,-73.964219,"25 Promenade Blvd,Fair Lawn,NJ",154
Business Networking at BNI Gold Coast Chapter,BNI Gold Coast - Business Networking,1,https://www.meetup.com/BNIGoldCoast/events/275744606,NJ,Weehawken,"Lincoln Harbor, Pier D-T",https://www.google.com/maps/search/api=1&query=Lincoln+Harbor%2C+Pier+D-T%2C+Weehawken%2C+NJ%2C+us,40.778409,-74.024332,"Lincoln Harbor, Pier D-T,Weehawken,NJ",174
Celeb fix and flip,NJ's Entrepreneurs Investors Haven in Real Estate,2,https://www.meetup.com/NewJerseyInvestors/events/275439725,NJ,Newark,972 Broad Street Newark,https://www.google.com/maps/search/api=1&query=972+Broad+Street+Newark%2C+Newark%2C+NJ%2C+us,40.7366954,-74.1707598,"972 Broad Street Newark,Newark,NJ",164
 Successfully  Speaking Toastmasters Club.  2nd & 4th wed of the month!,Successfully Speaking Toastmasters Meetup,1,https://www.meetup.com/Newark-Toastmasters-Successfully-Speaking-Meetup/events/275756621,NJ,Newark,183 So Orange Avenue,https://www.google.com/maps/search/api=1&query=40.739254%2C-74.189957,40.738743,-74.19006,"183 So Orange Avenue,Newark,NJ",164
Weekly Mastermind and Business Referral Exchange,Jersey City Hoboken Business Referral Meetup - BNI Liberty,1,https://www.meetup.com/BNI-Liberty-Business-Referral-Network/events/275767091,NJ,Hoboken,50 Harrison St,https://www.google.com/maps/search/api=1&query=50+Harrison+St%2C+Hoboken%2C+NJ%2C+us,40.7373967,-74.043071,"50 Harrison St,Hoboken,NJ",158
Virtual Weekly Networking Meeting - JOIN US!!,Hudson Connections - A Referral Network,1,https://www.meetup.com/Hudsonconnections/events/275744880,NJ,Hoboken,259 14th St,https://www.google.com/maps/search/api=1&query=40.753803%2C-74.029289,40.7433066,-74.0323752,"259 14th St,Hoboken,NJ",158
Hoboken Critical Mass Light Up The Night Bike Tour,Hoboken Bicycling Meetup,9,https://www.meetup.com/Hoboken-Bicycling-Meetup/events/275420479,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/api=1&query=901+Park+Ave%2C+901+Park+Ave%2C+Hoboken%2C+NJ%2C+07030%2C+us&query_place_id=ChIJyS2VDmJXwokR-pkTQhFPc6Q,40.7433066,-74.0323752,"901 Park Ave,Hoboken,NJ",233
