event_lat,event_lng,address
40.757008,-73.982982,"""115 W 45th St,New York,NY"""
40.715119,-74.008405,"""119 Chambers St,New York,NY"""
40.747557,-73.984504,"""11 East 33rd Street,New York,NY"""
40.727627,-74.044072,"""29 McWilliams Pl.,Jersey City,NJ"""
40.726349,-74.001809,"""177 Prince St, New York, NY 10012,New York,NE"""
40.8223223,-74.1598663,"""7 High St,Nutley,NJ"""
40.723147,-74.042526,"""189 Brunswick St, 3rd Floor,Jersey City,NJ"""
40.753741,-73.990609,"""265 W 37th St,New York,NY"""
40.736194,-74.035038,"""300 Observer Hwy,Hoboken,NJ"""
40.7127281,-74.0060152,"""500 8th ave 3rd fl,New York,NY"""
40.635064,-74.011719,"""520 8th Ave 16th Fl 10018,New York,NY"""
40.730388,-73.990088,"""109 E 9th St,New York,NY"""
40.65246,-74.135277,"""185 John F. Kennedy Blvd,Bayonne,NJ"""
40.6962983,-74.2705076,"""1023 Stuyvesant Ave,Union,NJ"""
42.7454364,-73.7592017,"""Internet,New York,NY"""
40.7433066,-74.0323752,"""1012 Grand St,Hoboken,NJ"""
40.7861275,-73.9846061,"""Hudson River Greenway,New York,NY"""
40.6766891,-73.9007242,"""558 Broadway Avenue,New York ,NY"""
40.6988321,-73.9946772,"""Online,New York,NY"""
40.7116774,-74.0065372,"""38 Park Row #4,New York,NY"""
40.738444,-73.993328,"""44 W 17th St,New York,NY"""
40.7127281,-74.0060152,"""350 W 50th St,New York,NY"""
40.759843,-73.991735,"""405 W 44th St,New York,NY"""
40.7127281,-74.0060152,"""116 10th Ave,New York,NY"""
40.727339,-73.986802,"""77 E 7th St,New York,NY"""
40.7127281,-74.0060152,"""500 8th ave 3rd fl,New York,NY"""
40.74932,-73.995687,"""389 8th Ave,New York,NY"""
40.9231001,-73.9055728,"""161 ludlow,New York,NY"""
40.75625,-73.99142,"""330 W 40th St,New York,NY"""
40.7366954,-74.1707598,"""972 Broad Street Newark,Newark,NJ"""
40.6976019,-74.2632024,"""900 Green Lane,Union,NJ"""
40.738743,-74.19006,"""183 So Orange Avenue,Newark,NJ"""
40.7373967,-74.043071,"""50 Harrison St,Hoboken,NJ"""
40.6976019,-74.2632024,"""900 Green Ln,Union,NJ"""
40.799948,-73.95119,"""A link will be emailed once you RSVP,New York,NY"""
42.7276306,-73.7610137,"""Zoom,New York City,NY"""
40.799948,-73.95119,"""ONLINE LINK will be emailed after RSVP,New York,NY"""
40.733659,-74.00298,"""75 Christopher St (at 7th Ave),New York,NY"""
40.7433066,-74.0323752,"""259 14th St,Hoboken,NJ"""
40.799948,-73.95119,"""ONLINE LINK will be emailed after RSVP,New York,NY"""
40.778409,-74.024332,"""Lincoln Harbor, Pier D-T,Weehawken,NJ"""
40.6758826,-73.9032829,"""1407 Broadway,New York,NY"""
40.799948,-73.95119,"""ONLINE LINK will be emailed after RSVP,New York,NY"""
40.717365,-73.999903,"""120 Walker St,New York,NY"""
43.086832,-77.545701,"""Your Home/Office Location,New York,NY"""
40.6988321,-73.9946772,"""ONLINE,New York ,NY"""
40.7127281,-74.0060152,"""55 Church St,New York,NY"""
40.7433066,-74.0323752,"""901 Park Ave,Hoboken,NJ"""
40.735845,-74.00596,"""  569 Hudson St,New York,NY"""
40.7433066,-74.0323752,"""901 Park Ave,Hoboken,NJ"""
42.7353928,-73.7132298,"""27 W 24th St Suite 800B,New York,NY"""
40.709686,-74.011674,"""Your Guide will meet you when you get out from the train at Poughkeepsie,New York,NY"""
40.754663,-73.983167,"""90 West 42nd Street (Across from Grand Central),New York,NY"""
40.740752,-74.168407,"""14 Rector Street,Newark,NJ"""
40.6501038,-73.9495823,"""1 Oak St,Brooklyn,NY"""
40.8589384,-74.1110604,"""460 Passaic Avenue,Lodi,NJ"""
40.6273629,-74.0980605,"""Silver Lake Park Road/Corner of Forest Avenue,Staten Island,NY"""
40.8589384,-74.1110604,"""460 Passaic Avenue,Lodi,NJ"""
40.6988321,-73.9946772,"""Online,New York,NY"""
40.747898,-73.9827315,"""185 Madison Ave Floor 3,New York,NY"""
43.072243,-77.670586,"""Online Webinar - See Below for Registration Details,New York,NY"""
42.992801,-77.371592,"""Remote,New York,NY"""
40.6988321,-73.9946772,"""Online,New York,NY"""
40.6988321,-73.9946772,"""Online,New York,NY"""
40.725452,-73.993042,"""18 Bleecker Street,New York,NY"""
40.6988321,-73.9946772,"""Online,New York,NY"""
40.6988321,-73.9946772,"""Online,New York,NY"""
40.7456637,-73.9826006,"""470 Park Ave South,New York,NY"""
40.741236,-73.3566912,"""350 West Broadway, NY 10013,New York,NY"""
40.720033,-73.97869,"""519 8th Avenue 2nd floor,New York,NY"""
40.6988321,-73.9946772,"""Online,New York,NY"""
43.0786935,-75.7509974,"""185 Madison Ave,New York,NY"""
40.747513,-73.989889,"""115 W 30th Street 5th floor,New York,NY"""
40.6988321,-73.9946772,"""Online,New York,NY"""
40.7127281,-74.0060152,"""224 West 4th street Second Floor,New York,NY"""
40.7127281,-74.0060152,"""137 West 14th Street, 2nd Floor,New York,NY"""
40.7127281,-74.0060152,"""845 3rd Avenue #6th Floor,New York,NY"""
40.71979,-74.038622,"""107 Morgan St,Jersey City,NJ"""
40.6667697,-74.1154202,"""1075 Broadway,Bayonne,NJ"""
40.6501038,-73.9495823,"""695 5th Ave,Brooklyn,NY"""
40.766684,-73.996493,"""742 10th Ave (between 50 and 51 Sts.,New York,NY"""
40.7987113,-74.2390353,"""253 Main St,West Orange,NJ"""
40.7987113,-74.2390353,"""253 Main St,West Orange,NJ"""
40.726563,-74.070814,"""870 Montgomery St,Jersey City,NJ"""
42.8616969,-77.9021691,""" Terrace Dr. New York, NY 10024,New York,NY"""
42.6622728,-73.7695467,"""Washington Square,New York,NY"""
42.6794564,-73.7386599,"""Amsterdam Ave,New York,NY"""
42.499477,-76.3657818,"""281 Main Street,New York,NY"""
40.72006,-73.950242,"""776 Lorimer St,Brooklyn,NY"""
40.72006,-73.950242,"""776 Lorimer St.,Brooklyn,NY"""
