state,city,event_name,group_name,attendees,lat,lng,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address
PA,Fairless Hills,"LBNA - FALLS, PA MEETS EVERY WEDNESDAY 12:30PM -01:30PM",Lower Bucks Networking Association Meetup Group,2,40.1795537,-74.8551644,Career & Business,https://www.meetup.com/Lower-Bucks-Networking-Association-Meetup-Group/events/275723291,980 Trenton Rd,https://www.google.com/maps/search/?api=1&query=40.187866%2C-74.828094,40.833216,-76.088718,"""980 Trenton Rd Fairless Hills, PA"""
PA,Yardley,Join us for Breakfast and bring plenty of Business Cards!,LeTip of Newtown,1,40.245664,-74.8459972,Career & Business,https://www.meetup.com/LeTip-of-Newtown/events/275884163,82 East Afton Avenue,https://www.google.com/maps/search/?api=1&query=82+East+Afton+Avenue%2C+Yardley%2C+PA%2C+19067%2C+us,40.24454,-74.83671,"""82 East Afton Avenue Yardley, PA"""
NJ,Trenton,Trenton Real Estate --- hear from talented local and national investors,Trenton Real Estate Hackers Meetup,2,40.2170575,-74.7429463,Career & Business,https://www.meetup.com/Trenton-Real-Estate-Investors-Meetup/events/275867929,"354 S Broad St,",https://www.google.com/maps/search/?api=1&query=354+S+Broad+St%2C%2C+Trenton%2C+NJ%2C+us,40.214645,-74.761001,"""354 S Broad St, Trenton, NJ"""
PA,Langhorne,Free Hard Networking Group w/ 26 Members - Looking For New Members,Lower Bucks Business Connections,1,40.1745538,-74.9226665,Career & Business,https://www.meetup.com/Lower-Bucks-Business-Connections/events/275863236,1262 Wood Lane  Ste 106/107,https://www.google.com/maps/search/?api=1&query=1262+Wood+Lane++Ste+106%2F107%2C+Langhorne%2C+PA%2C+us,40.848217,-75.707393,"""1262 Wood Lane  Ste 106/107 Langhorne, PA"""
PA,Yardley,Letip of Newtown,Philly Biz Connects,1,40.245664,-74.8459972,Career & Business,https://www.meetup.com/phillybizconnects/events/275884152,82 E Afton Ave,https://www.google.com/maps/search/?api=1&query=40.244896%2C-74.836647,40.24454,-74.83671,"""82 E Afton Ave Yardley, PA"""
NJ,Hoboken,Hoboken Critical Mass Light Up The Night Bike Tour,Hoboken Bicycling Meetup,11,40.7433066,-74.0323752,Outdoors & Adventure,https://www.meetup.com/Hoboken-Bicycling-Meetup/events/275420479,901 Park Ave,https://www.google.com/maps/search/?api=1&query=901+Park+Ave%2C+901+Park+Ave%2C+Hoboken%2C+NJ%2C+07030%2C+us&query_place_id=ChIJyS2VDmJXwokR-pkTQhFPc6Q,40.7433066,-74.0323752,"""901 Park Ave Hoboken, NJ"""
NJ,Hoboken,Critical Mass NYC / NJ - January 2021,Critical Mass NYC / NJ,4,40.7433066,-74.0323752,Outdoors & Adventure,https://www.meetup.com/Critical-Mass-NYC-NJ/events/274151373,901 Park Ave,https://www.google.com/maps/search/?api=1&query=40.747830%2C-74.030460,40.7433066,-74.0323752,"""901 Park Ave Hoboken, NJ"""
NE,Jersey City,"First Sunday of the month, a joint walk with Everwalk (may use for Kennedy50)",FreeWalkers,4,40.7281575,-74.0776417,Outdoors & Adventure,https://www.meetup.com/FreeWalkers/events/275895708,1 Audrey Zapp Dr,https://www.google.com/maps/search/?api=1&query=40.708190%2C-74.038210,40.709994,-74.051887,"""1 Audrey Zapp Dr Jersey City, NE"""
NJ,Hoboken ,GV Hoboken Climbing Session,Hudson County Indoor Rock Climbing,3,40.7433066,-74.0323752,Outdoors & Adventure,https://www.meetup.com/hudson-county-indoor-rock-climbing/events/275892333,1423 Clinton Street ,https://www.google.com/maps/search/?api=1&query=40.754820%2C-74.030050,40.7548565,-74.0300675,"""1423 Clinton Street  Hoboken , NJ"""
NJ,Newark,"Newark Community Cycling Group Ride. This is a non-drop ride, discover NEWARK ",Outdoor Adventure Sports,1,40.735657,-74.1723667,Outdoors & Adventure,https://www.meetup.com/outdooradventuresports/events/275895919,14 Rector Street,https://www.google.com/maps/search/?api=1&query=14+Rector+Street%2C+Newark%2C+nj%2C+07102%2C+us,40.740752,-74.168407,"""14 Rector Street Newark, NJ"""
NJ,West Orange,Eagle Rock Reservation bring a newbie beginner 4-5 miles,Trail Shrinks,32,40.7987113,-74.2390353,Outdoors & Adventure,https://www.meetup.com/trailshrinks/events/275798719,Crest Dr,https://www.google.com/maps/search/?api=1&query=40.810840%2C-74.234490,40.8033942,-74.2382416,"""Crest Dr West Orange, NJ"""
