region_id,state,city,lat,lng,population
124,NJ,New Brunswick,40.486999999999995,-74.445,55676
125,NJ,New Brunswick,40.486999999999995,-74.445,55676
126,NJ,New Brunswick,40.486999999999995,-74.445,55676
127,NJ,New Brunswick,40.486999999999995,-74.445,55676
128,NJ,New Brunswick,40.486999999999995,-74.445,55676
129,NJ,New Brunswick,40.486999999999995,-74.445,55676
130,NJ,New Brunswick,40.486999999999995,-74.445,55676
131,NJ,New Brunswick,40.486999999999995,-74.445,55676
132,NJ,Newark,40.7245,-74.1725,282011
133,NJ,Newark,40.7245,-74.1725,282011
134,NJ,Newark,40.7245,-74.1725,282011
135,NJ,Newark,40.7245,-74.1725,282011
136,NJ,Newark,40.7245,-74.1725,282011
137,NJ,Newark,40.7245,-74.1725,282011
138,NJ,Newark,40.7245,-74.1725,282011
139,NJ,Newark,40.7245,-74.1725,282011
140,NJ,Newark,40.7245,-74.1725,282011
141,NJ,Newark,40.7245,-74.1725,282011
142,NJ,Newark,40.7245,-74.1725,282011
143,NJ,Newark,40.7245,-74.1725,282011
144,NJ,Newark,40.7245,-74.1725,282011
145,NJ,Newark,40.7245,-74.1725,282011
146,NJ,Newark,40.7245,-74.1725,282011
147,NJ,Newark,40.7245,-74.1725,282011
148,NJ,Newark,40.7245,-74.1725,282011
149,NJ,Passaic,40.8574,-74.1282,69703
150,NJ,Passaic,40.8574,-74.1282,69703
151,NJ,Passaic,40.8574,-74.1282,69703
152,NJ,Passaic,40.8574,-74.1282,69703
153,NJ,Passaic,40.8574,-74.1282,69703
154,NJ,Passaic,40.8574,-74.1282,69703
155,NJ,Passaic,40.8574,-74.1282,69703
156,NJ,Passaic,40.8574,-74.1282,69703
157,NJ,Passaic,40.8574,-74.1282,69703
158,NJ,Passaic,40.8574,-74.1282,69703
159,NJ,Passaic,40.8574,-74.1282,69703
160,NJ,Passaic,40.8574,-74.1282,69703
161,NJ,Passaic,40.8574,-74.1282,69703
162,NJ,Passaic,40.8574,-74.1282,69703
163,NJ,Passaic,40.8574,-74.1282,69703
164,NJ,Passaic,40.8574,-74.1282,69703
165,NJ,Passaic,40.8574,-74.1282,69703
166,NJ,Passaic,40.8574,-74.1282,69703
167,NJ,Passaic,40.8574,-74.1282,69703
168,NJ,Passaic,40.8574,-74.1282,69703
169,NJ,Passaic,40.8574,-74.1282,69703
170,NJ,Passaic,40.8574,-74.1282,69703
171,NJ,Passaic,40.8574,-74.1282,69703
172,NJ,Passaic,40.8574,-74.1282,69703
173,NJ,Passaic,40.8574,-74.1282,69703
174,NJ,Passaic,40.8574,-74.1282,69703
175,NJ,Passaic,40.8574,-74.1282,69703
176,NJ,Passaic,40.8574,-74.1282,69703
177,NJ,Passaic,40.8574,-74.1282,69703
178,NJ,Paterson,40.9147,-74.1624,145233
179,NJ,Paterson,40.9147,-74.1624,145233
180,NJ,Paterson,40.9147,-74.1624,145233
181,NJ,Paterson,40.9147,-74.1624,145233
182,NJ,Paterson,40.9147,-74.1624,145233
183,NJ,Paterson,40.9147,-74.1624,145233
184,NJ,Paterson,40.9147,-74.1624,145233
185,NJ,Paterson,40.9147,-74.1624,145233
186,NJ,Paterson,40.9147,-74.1624,145233
187,NJ,Paterson,40.9147,-74.1624,145233
188,NJ,Paterson,40.9147,-74.1624,145233
189,NJ,Paterson,40.9147,-74.1624,145233
190,NJ,Paterson,40.9147,-74.1624,145233
191,NJ,Paterson,40.9147,-74.1624,145233
192,NJ,Paterson,40.9147,-74.1624,145233
193,NJ,Paterson,40.9147,-74.1624,145233
194,NJ,Paterson,40.9147,-74.1624,145233
195,NJ,Paterson,40.9147,-74.1624,145233
196,NJ,Paterson,40.9147,-74.1624,145233
197,NJ,Perth Amboy,40.5203,-74.2724,51390
198,NJ,Perth Amboy,40.5203,-74.2724,51390
199,NJ,Perth Amboy,40.5203,-74.2724,51390
200,NJ,Perth Amboy,40.5203,-74.2724,51390
201,NJ,Perth Amboy,40.5203,-74.2724,51390
202,NJ,Perth Amboy,40.5203,-74.2724,51390
203,NJ,Perth Amboy,40.5203,-74.2724,51390
204,NJ,Perth Amboy,40.5203,-74.2724,51390
205,NJ,Perth Amboy,40.5203,-74.2724,51390
206,NJ,Perth Amboy,40.5203,-74.2724,51390
207,NJ,Plainfield,40.6154,-74.4157,50317
208,NJ,Plainfield,40.6154,-74.4157,50317
209,NJ,Plainfield,40.6154,-74.4157,50317
210,NJ,Plainfield,40.6154,-74.4157,50317
211,NJ,Plainfield,40.6154,-74.4157,50317
212,NJ,Plainfield,40.6154,-74.4157,50317
213,NJ,Sayreville,40.4656,-74.3237,44173
214,NJ,Sayreville,40.4656,-74.3237,44173
215,NJ,Sayreville,40.4656,-74.3237,44173
216,NJ,Sayreville,40.4656,-74.3237,44173
217,NJ,Sayreville,40.4656,-74.3237,44173
218,NJ,Trenton,40.2236,-74.7641,290716
219,NJ,Trenton,40.2236,-74.7641,290716
220,NJ,Trenton,40.2236,-74.7641,290716
221,NJ,Trenton,40.2236,-74.7641,290716
222,NJ,Trenton,40.2236,-74.7641,290716
223,NJ,Trenton,40.2236,-74.7641,290716
224,NJ,Trenton,40.2236,-74.7641,290716
225,NJ,Trenton,40.2236,-74.7641,290716
226,NJ,Trenton,40.2236,-74.7641,290716
227,NJ,Trenton,40.2236,-74.7641,290716
228,NJ,Union City,40.7674,-74.0323,67982
229,NJ,Union City,40.7674,-74.0323,67982
230,NJ,Union City,40.7674,-74.0323,67982
231,NJ,Union City,40.7674,-74.0323,67982
232,NJ,Union City,40.7674,-74.0323,67982
233,NJ,Union City,40.7674,-74.0323,67982
234,NJ,Union City,40.7674,-74.0323,67982
235,NJ,Union City,40.7674,-74.0323,67982
236,NJ,Union City,40.7674,-74.0323,67982
237,NJ,Union City,40.7674,-74.0323,67982
238,NJ,Union City,40.7674,-74.0323,67982
239,NJ,Union City,40.7674,-74.0323,67982
240,NJ,Union City,40.7674,-74.0323,67982
241,NJ,Union City,40.7674,-74.0323,67982
242,NJ,Union City,40.7674,-74.0323,67982
243,NJ,Vineland,39.4653,-74.9981,93239
244,NJ,West New York,40.7856,-74.0093,52723
245,NJ,West New York,40.7856,-74.0093,52723
246,NJ,West New York,40.7856,-74.0093,52723
247,NJ,West New York,40.7856,-74.0093,52723
248,NJ,West New York,40.7856,-74.0093,52723
249,NJ,West New York,40.7856,-74.0093,52723
250,NJ,West New York,40.7856,-74.0093,52723
251,NJ,West New York,40.7856,-74.0093,52723
252,NJ,West New York,40.7856,-74.0093,52723
253,NJ,West New York,40.7856,-74.0093,52723
254,NJ,West New York,40.7856,-74.0093,52723
255,NJ,West New York,40.7856,-74.0093,52723
256,NY,Albany,42.6664,-73.7987,586383
257,NY,Albany,42.6664,-73.7987,586383
258,NY,Albany,42.6664,-73.7987,586383
259,NY,Albany,42.6664,-73.7987,586383
260,NY,Albany,42.6664,-73.7987,586383
261,NY,Binghamton,42.1014,-75.9093,148145
262,NY,Brentwood,40.7839,-73.2522,62942
263,NY,Brentwood,40.7839,-73.2522,62942
264,NY,Brentwood,40.7839,-73.2522,62942
265,NY,Brentwood,40.7839,-73.2522,62942
266,NY,Brentwood,40.7839,-73.2522,62942
267,NY,Bronx,40.8501,-73.8662,1418207
268,NY,Bronx,40.8501,-73.8662,1418207
269,NY,Bronx,40.8501,-73.8662,1418207
270,NY,Bronx,40.8501,-73.8662,1418207
271,NY,Bronx,40.8501,-73.8662,1418207
272,NY,Brooklyn,40.6501,-73.9496,2559903
273,NY,Brooklyn,40.6501,-73.9496,2559903
274,NY,Brooklyn,40.6501,-73.9496,2559903
