city_id,state,city,lat,lng
113,NY,Islandia,40.8042649,-73.1690019
114,NY,Ithaca,42.4396039,-76.4968019
115,NY,Kingston,41.9287812,-74.0023702
116,NY,Lake Grove,40.8528761,-73.1151102
117,NY,Lake Ronkonkoma,40.8237106,-73.1075598
118,NY,Larchmont,40.9278769,-73.7517983
119,NY,Latham,42.7444055,-73.761563
120,NY,Lindenhurst,40.6867667,-73.3734547
121,NY,Malta,42.9711708,-73.792926
122,NY,Manhattan,40.7896239,-73.9598939
123,NY,Middletown,40.8397222,-73.8316667
124,NY,Mount Vernon,40.9125815,-73.8370786
125,NY,New Paltz,41.7464972,-74.0844894
126,NY,New York ,40.7127281,-74.0060152
127,NY,North White Plains,41.0512716,-73.7724782
128,NY,Nyack,41.091121,-73.9196794
129,NY,Online,40.6988321,-73.9946772
130,NY,Pittsford,43.090959,-77.515298
131,NY,Pleasant Valley,41.7445382,-73.8212439
132,NY,Pleasantville,41.1328736,-73.7926335
133,NY,Port Chester,41.0017643,-73.6656834
134,NY,Poughkeepsie,41.7065539,-73.9283672
135,NY,Queens,40.7498243,-73.7976337
136,NY,"Riverdale, Bronx",40.90056,-73.90639
137,NY,Rochester,43.157285,-77.615214
138,NY,Sands Point,40.8517669,-73.718742
139,NY,Saratoga Springs,43.0821793,-73.7853915
140,NY,Saugerties,42.0775906,-73.9529126
141,NY,Schenectady,42.8142432,-73.9395687
142,NY,Smithtown,40.8559314,-73.2006687
143,NY,Snyder,42.9636689,-78.7839218
144,NY,St James,40.8813312,-73.1511732
145,NY,Staten Island,40.5834557,-74.1496048
146,NY,Stony Brook,40.9087015,-73.1396036
147,NY,Syracuse,43.0481221,-76.1474244
148,NY,Tappan,41.0249745,-73.9506118
149,NY,Tonawanda,42.9935815,-78.8819044
150,NY,Troy,40.7402557,-74.0055355
151,NY,WHITESTONE,40.7945457,-73.8184674
152,NY,Wappingers Falls,41.5965635,-73.9112103
153,NY,West Babylon,40.7126585,-73.3536779
154,NY,Westchester County,41.1763139,-73.7907554
155,NY,White Plains,41.0339862,-73.7629097
156,NY,Williamsville,42.9637836,-78.7377258
157,NY,Yonkers,40.9312099,-73.8987469
158,PA,Allentown,40.6022059,-75.4712794
159,PA,Bala Cynwyd,40.0076125,-75.2340695
160,PA,Bensalem,40.1027615,-74.9321395
161,PA,Boyertown ,40.3337075,-75.6374083
162,PA,Bristol,40.1229002,-74.8644706
163,PA,Bucks County,40.3451668,-75.1263909
164,PA,Camp Hill,40.2398118,-76.9199742
165,PA,Catasauqua,40.6548191,-75.4746273
166,PA,Douglassville,40.2578714,-75.7263008
167,PA,East Stroudsburg,40.9995386,-75.1812913
168,PA,Erie,42.1294712,-80.0852695
169,PA,Fairless Hills,40.1795537,-74.8551644
170,PA,Glenside,40.1023326,-75.1521195
171,PA,Hanover,39.8063247,-76.9842735
172,PA,Harrisburg,40.2663107,-76.8861122
173,PA,Hellertown,40.5794426,-75.3405529
174,PA,Horsham,40.1842455,-75.1390524
175,PA,Johnstown,40.3267407,-78.9219698
176,PA,Kingston,41.2617481,-75.8968635
177,PA,Lancaster,40.03813,-76.3056686
178,PA,Langhorne,40.1745538,-74.9226665
179,PA,Lebanon,40.3429683,-76.4233816
180,PA,Leola,40.087875,-76.1849534
181,PA,Levittown ,40.1574174,-74.8322245
182,PA,Limerick,40.2309343,-75.5221245
183,PA,Morrisville,40.2114978,-74.7879399
184,PA,Munhall,40.3922914,-79.9000499
185,PA,Narberth,40.0084456,-75.26046
186,PA,Newtown,40.6529454,-76.345043
187,PA,North Versailles,40.3797913,-79.8094916
188,PA,Philadelphia ,39.9527237,-75.1635262
189,PA,Phoenixville,40.1303822,-75.5149128
190,PA,Pittsburgh,40.4416941,-79.9900861
191,PA,Pottstown,40.2452976,-75.6496424
192,PA,Richboro,40.229682,-74.9994889
193,PA,Spring City,40.176767,-75.5476803
194,PA,State College,40.7944504,-77.8616386
195,PA,Stevens,40.2162043,-76.1552256
196,PA,Stowe,40.2525952,-75.677409
197,PA,Stroudsburg,40.9864261,-75.1946649
198,PA,Verona,40.5064571,-79.843105
199,PA,West Pittston,41.3279106,-75.8007112
200,PA,Whitehall,40.657478,-75.5074646
201,PA,Wyomissing,40.329537,-75.9652117
202,PA,Yardley,40.245664,-74.8459972
203,PA,York,39.962398,-76.727392
204,PA,johnstown ,40.3267407,-78.9219698
