state,city,category,event_name,group_name,attendees,event_link,lat,lng,population
NJ,Newark,Outdoors & Adventure,Eagle Rock Reservation bring a newbie beginner 4-5 miles,Trail Shrinks,32,https://www.meetup.com/trailshrinks/events/275798719,40.7245,-74.1725,282011
NJ,Newark,Outdoors & Adventure,Volunteer Trip - Paddle North - 6 mile round trip,Hoboken Cove Community Boathouse,3,https://www.meetup.com/Hoboken-Cove-Community-Boathouse/events/275865290,40.7245,-74.1725,282011
NJ,Newark,Outdoors & Adventure,Hike at Eagle Rock Reservation ,Trail Shrinks Youngens,1,https://www.meetup.com/TrailshrinksYoungens-com/events/275920471,40.7245,-74.1725,282011
NJ,Newark,Outdoors & Adventure,Monthly meeting and Trip planning,New York Caving Meetup Group,6,https://www.meetup.com/New-York-Cavers/events/275376807,40.7245,-74.1725,282011
NJ,Newark,Outdoors & Adventure,Hudson Walkway Loop/Reese Park Social Distancing 6 Mile Hike/Walk,"New York Hikes, Happy Hours & Outdoor Adventures",2,https://www.meetup.com/New-York-Hikes-Happy-Hours-and-Outdoor-Adventures/events/275555724,40.7245,-74.1725,282011
NJ,Newark,Outdoors & Adventure,Private Social Distancing NYC Subways & Stations History Tour,SINGLES TRAVEL AND ADVENTURE!,1,https://www.meetup.com/SINGLES-TRAVEL-AND-ADVENTURE/events/275555362,40.7245,-74.1725,282011
NJ,Newark,Outdoors & Adventure,Kite Drinks NYC,NYC Kiteboarding,3,https://www.meetup.com/NYCKiteboarding/events/275786860,40.7245,-74.1725,282011
NJ,Newark,Outdoors & Adventure,Snow-Shoeing Adventure,Outsiders NY,3,https://www.meetup.com/Outsiders-NY/events/275732322,40.7245,-74.1725,282011
NJ,Newark,Family,West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,40.7245,-74.1725,282011
NJ,Newark,Family,Sunday Morning Prenatal Yoga,West Orange Pregnancy Meetup,1,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275824180,40.7245,-74.1725,282011
NJ,Newark,Family,My Gym Little Bundles Classes,JCFamilies,1,https://www.meetup.com/JCFamilies/events/275886037,40.7245,-74.1725,282011
NJ,Newark,Learning,BCI Hardware & Deep Learning Project Night,NYC Brain-Computer Interface meetup,4,https://www.meetup.com/NYC-BCI-meetup/events/275755153,40.7245,-74.1725,282011
NJ,Newark,Learning,Let's Meet Up for Happy Hour,NYC Bicycle Commuting,4,https://www.meetup.com/NYC-Bicycle-Commuting/events/275287046,40.7245,-74.1725,282011
NJ,Newark,Learning,Jolly January,Humorous Toastmasters,3,https://www.meetup.com/Toastmasters-New-York/events/275917096,40.7245,-74.1725,282011
NJ,Newark,Learning,ZOOM EVENT: HOW DOES SOCIAL CONTRACT THEORY GUIDE US?,Cafe Philo New York,2,https://www.meetup.com/New-York-Cafe-Philo/events/275901201,40.7245,-74.1725,282011
NJ,Newark,Photography,"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,1,https://www.meetup.com/photography-classes-nyc/events/274851102,40.7245,-74.1725,282011
NJ,Newark,Writing,ONLINE[😠] POETRY READING WITH DISCUSSION & CRITIQUE,The Poetry Society Peace For All Guild Parlor,3,https://www.meetup.com/THE-POETRY-SOCIETY-PEACE-FOR-ALL-GUILD-PARLOR/events/275910848,40.7245,-74.1725,282011
NJ,Newark,Writing,The Cornwall Writers' Circle,The Cornwall Writers Circle,4,https://www.meetup.com/The-Cornwall-Writers-Circle/events/275886062,40.7245,-74.1725,282011
NJ,Newark,Writing,Writing Workshop,Panera Collective -- Novel Writing Workshop,1,https://www.meetup.com/Panera-Collective/events/275831786,40.7245,-74.1725,282011
NJ,Newark,Writing,Shut Up & Write!® East Village/Lower East Side,Shut Up & Write!® NYC,1,https://www.meetup.com/shutupandwriteNYC/events/275919961,40.7245,-74.1725,282011
NJ,Newark,Movements,LIVE OPEN NYC DISCUSSION SOCIETY BIWEEKLY MEETING,Online Live NYC Open Discussion Society,1,https://www.meetup.com/ONLINE-LIVE-NYC-OPEN-DISCUSSION-SOCIETY/events/275909971,40.7245,-74.1725,282011
NJ,Newark,Movements,Regular Meeting,Alternative Banking Group - Occupy Wall Street of NYC,2,https://www.meetup.com/Alternative-Banking-Group-Occupy-Wall-Street-of-NYC/events/275790758,40.7245,-74.1725,282011
NJ,Newark,Movements,Rise and Resist Meeting,Rise and Resist,1,https://www.meetup.com/rise-and-resist/events/275876132,40.7245,-74.1725,282011
NJ,Newark,Movements,"Dismantle Patriarchy Art Contest for Students, deadline 2/28/21",Radical Feminist Activists,1,https://www.meetup.com/RadFemActivists/events/274910866,40.7245,-74.1725,282011
NJ,Newark,Movements,"Volunteer with 10,000 PB&Js",Volunteer NYC,2,https://www.meetup.com/volunteernyc/events/275837257,40.7245,-74.1725,282011
NJ,Newark,Movements,Monthly Meetup ( Meet others passionate about permaculture and share projects).,The New York Permaculture Meetup,6,https://www.meetup.com/nycpermaculture/events/275771409,40.7245,-74.1725,282011
NJ,Newark,Movements,An-Cap After Work,New York Anarcho-Capitalist Meetup,1,https://www.meetup.com/nycancap/events/275897559,40.7245,-74.1725,282011
NJ,Newark,Movements,The Original Drinking Liberally Weekly Thursday Meetup,Drinking Liberally Downtown Brooklyn and NYC,1,https://www.meetup.com/Drinking-Liberally-Downtown-Brooklyn/events/275918383,40.7245,-74.1725,282011
NJ,Newark,Movements,Weekly Thursday Meetup,The Original Drinking Liberally NYC,1,https://www.meetup.com/drinkingliberallynyc/events/275918400,40.7245,-74.1725,282011
NJ,Newark,Movements,thelovemaze.com Singles Wine and Love Sunday @ Brookfield Place,Singles by Neighborhood-,1,https://www.meetup.com/Singles-by-Neighborhood/events/275830612,40.7245,-74.1725,282011
NJ,Newark,Movements,MONTHLY NOnprofit and volunteering networking,NYC Non-Profit Meetup Club (NYCNP),1,https://www.meetup.com/NYCNonprofit/events/275895490,40.7245,-74.1725,282011
NJ,Newark,Movements,LES Chapter: Food Distribution,"10,000 PB&Js",1,https://www.meetup.com/10000PBandJs/events/275837258,40.7245,-74.1725,282011
NJ,Newark,LGBTQ,LGBT Women ,Come Out & Talk LGBT Females Forty & Up,2,https://www.meetup.com/Come-Out-Talk-LGBT-Females-Forty-Up/events/275919245,40.7245,-74.1725,282011
NJ,Newark,LGBTQ,Black Lotus Project: A Virtual Gathering of Black Bisexual+ Men,NYC Tri-State Area Bisexual+ SGL Queer & Questioning Meetup,6,https://www.meetup.com/bisexual-nyc/events/275652731,40.7245,-74.1725,282011
NJ,Newark,LGBTQ,"Book to be discussed:  ""Swimming in the Dark"" by Tomasz Jedrowski",NYC Gay Guys' Book Club,16,https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,40.7245,-74.1725,282011
NJ,Newark,Film,Steele Wool by Frank A. Cappello,Oddball Cinema,1,https://www.meetup.com/Oddball-Cinema/events/275407602,40.7245,-74.1725,282011
NJ,Newark,Hobbies & Crafts,Rockin' Knitters -  Virtual meetings until further notice,Rockin' Knitters  Meetup Group,4,https://www.meetup.com/Rockinknitters-Meetup-Group/events/275229623,40.7245,-74.1725,282011
NJ,Jersey City,Family,Singalong and Story Time for Kids,Family fun in Brooklyn,2,https://www.meetup.com/Family-fun-in-Brooklyn/events/275873427,40.7161,-74.0682,262075
NJ,Jersey City,Family,My Gym Little Bundles Classes,JCFamilies,1,https://www.meetup.com/JCFamilies/events/275886037,40.7161,-74.0682,262075
NJ,Jersey City,Family,West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,40.7161,-74.0682,262075
