event_state,event_city,event_street
NY,New York,51 W 14th St #3r
NY,New York ,1085 5th Avenue 
NY,New York,270 Greenwich Street Cafe Level
NY,Brooklyn,273 13th Street
NY,Brooklyn,513 Johnson Avenue #13
NY,New York,158 E 115th St
NJ,Jersey City,252 9th St
NJ,Teaneck,687 Larch Ave
NY,New York,10 Columbus Cir
NY,New York,675 3rd Ave
NY,New York,Online
NY,New York,10 South William St
NY,New York,105th and Broadway 
NY,New York,626 10th Ave
NY,Brooklyn,620 Manhattan Ave
NJ,Secaucus,151 Front St
NY,New York,116 E 7th Street
NY,New York ,2149 Frederick Douglass Blvd
NY,Manhattan,425 Avenue of the Americas (Sixth Avenue and 10th Street
NY,New York,Virtual Online Meeting
NY,New York,939 Lexington Avenue (between E. 68th & E. 69th Streets)
NJ,Fairview,394 Walker St
NY,New York,1678 3rd Ave
NY,Queens,10-93 Jackson Ave
NY,New York,765 Washington St
NE,New York,"177 Prince St, New York, NY 10012"
NJ,Jersey City,29 McWilliams Pl.
NY,New York ,1085 5th Avenue 
NY,New York,270 Greenwich Street Cafe Level
NY,New York,158 E 115th St
NY,Brooklyn,513 Johnson Avenue #13
NY,Williamsville,5577 Main St
NY,Buffalo ,33 Pannell St. #1
NY,Snyder,Main Street
NY,Buffalo,3200 Elmwood Ave
NY,Buffalo,238 Lexington Ave
NY,Tonawanda,Heritage Road
NY,Buffalo,1094 Hertel Ave
NY,Amherst,1310 Sweet Home Road
NY,Williamsville,6320 Main Street
NY,Williamsville,22 Lafayette
NY,Buffalo,1002 Elmwood Ave
NY,Rochester,Tryon Park (Road)
NY,Rochester,3240 Chili Ave
NY,Rochester,120 Mushroom Blvd
NY,Rochester,1400 Winton Rd N
NY,Pittsford,24 State St.
NY,Rochester,2000 Highland 
NY,Fairport,S Main St
NY,Albany,195 New Karner Rd
NY,Latham,605 Loudon Rd
NY,Albany,1 Crossgates Mall Road
NY,Colonie,580 Albany Shaker Road
NY,Latham,3 Lear Jet Ln
NY,Troy,71 4th St
NY,Albany,161 Washington Ave Ext
NY,Albany,21 King Ave
NY,Albany,1510 Central Ave Suite 107
NY,Latham,601 Troy Schenectady Rd
NY,Latham,997 New Loudon Rd. (Route 9)
NY,Troy,2212 Burdett Avenue (directly across from Samaritan Hospital)
NY,Staten Island,1 Eton Pl
NE,Jersey City,1 Audrey Zapp Dr
NY,New York,Your Guide will meet you when you get out from the train at Poughkeepsie
NJ,Hoboken,901 Park Ave
NJ,Hoboken,901 Park Ave
NY,New York,  569 Hudson St
NJ,Hoboken,Frank Sinatra Dr
NJ,Hoboken ,1423 Clinton Street 
NJ,Newark,14 Rector Street
NY,New York,"416 8th ave, Corner of 31st"
NY,Brooklyn,1 Oak St
NY,Brooklyn,695 5th Ave
NJ,Jersey City,252 9th St
NY,New York,Online
NY,New York,10 South William St
NY,New York,51 W 14th St #3r
NY,Brooklyn,75A 5th Ave
NY,Brooklyn,620 Manhattan Ave
NY,New York,116 E 7th Street
NY,Brooklyn,75A 5th Ave
NY,New York,Web-Based Remote Event
NY,New York,275 Greenwich Street
NY,New York,89 7th Ave
NY,New York,119 MacDougal Street
NY,NY,NY
NY,New York,38 West 32nd Street
NY,New York,"38 W 32nd St, New York, NY 10001"
NY,Brooklyn,243 78th St
NJ,Jersey City,143 Christopher Columbus Dr
NY,Brooklyn,"147 Prince Street, 4th Floor"
NY,Brooklyn,769 Washington Avenue
NY,Brooklyn,227 Utica Avenue
NY,New York,111 East 33rd St.
NY,New York,New York
NY,New York,Cyberspace
NY,Brooklyn,320 West 37th Street
NY,New York,32nd Street and 7th Avenue
NY,New York,10 West 33rd Street
NY,New York,230 Vesey St
NY,Brooklyn,105 Montrose Ave 
NY,New York,Virtual Online Meeting
NY,Staten Island,1600 Hylan Boulevard
NY,Manhattan,425 Avenue of the Americas (Sixth Avenue and 10th Street
NY,New York,433 E 6th St
NY,New York,25 W 31st street
NY,Brooklyn,1368 Fulton St
NJ,Jersey City,"189 Brunswick St, 3rd Floor"
NY,New York,109 E 9th St
NY,New York,265 W 37th St
NY,New York,520 8th Ave 16th Fl 10018
NY,New York,500 8th ave 3rd fl
NY,Syracuse,"Online! previously in Hillyer Room, BIrd Library 222 Waverly Ave"
NY,Syracuse,881 Van Rensselaer St
NY,Syracuse,415 S. Clinton St
NY,Syracuse,125 East Water Street
NY,Syracuse,235 Harrison Street
NY,Syracuse,TBD
NY,New Paltz,44 Main St
NY,New Paltz,3 Paradies Lane
NY,Poughkeepsie,485 Main St
NY,Wappingers Falls,1491 U.S. 9
NY,Poughkeepsie,330 Main St
NY,Wappingers Falls,2681 W. Main St
NY,Pleasant Valley,10100 Brookside Rd
NY,Poughkeepsie,3399 North Rd
NY,New York,Google Hangouts
NY,Online,Online
NY,Bronxville,"101 Pondfield Road West, 2nd Floor"
NJ,Teaneck,687 Larch Ave
NY,New York,805 Ft. Washington Ave Margaret Corbin Circle
NY,Hastings-On-Hudson,8 Main St
NY,White Plains,252 Bryant Avenue
NJ,Hackensack,41 NJ-4
NY,Yonkers,Old Croton Aqueduct Trail
NY,New York,95 Delancey Street (On the corner of Delancey & Ludlow)
NY,White Plains,198 Central Avenue
NJ,Paramus,300 Bergen Town Center
NY,NYC,TBA
NY,North White Plains,Fisher Lane
NY,White Plains,350 Main St
NY,Westchester County,Room
NJ,Maywood,92 West Pleasant Avenue
NY,Binghamton,30 Main Street
NY,Dobbs Ferry,Dobbs Ferry Train Station
NY,New York,Google Hangouts
NY,Mount Vernon,2 South Sixth Avenue
NY,New York,Pier 25 Hudson River Greenway
NJ,Englewood Cliffs,"https://goo.gl/maps/sp6o3i2mPV8Mpq8K8 Englewood Boat Basin - parking lot near the ""Snack Shack"""
NY,New York,New York. 
NY,WHITESTONE,150-11 14th Avenue
NY,White Plains,252 Bryant Avenue
NY,Yonkers,Old Croton Aqueduct Trail
NY,White Plains,198 Central Avenue
NY,New York,95 Delancey Street (On the corner of Delancey & Ludlow)
NY,North White Plains,Fisher Lane
NY,White Plains,350 Main St
NY,Port Chester,19 Smith Street church is next to parking lot off westchester avenue
NY,White Plains,777 Westchester Ave Ground Floor
NY,Ballston,Outlet Rd
NY,Saratoga Springs,50 Pine Rd
NY,Malta,2911 State Highway 9
NY,New York,Google Hangouts
NY,Online,Online
NY,Bronxville,"101 Pondfield Road West, 2nd Floor"
NY,New York,Morningside Dr
NJ,Englewood Cliffs,"https://goo.gl/maps/sp6o3i2mPV8Mpq8K8 Englewood Boat Basin - parking lot near the ""Snack Shack"""
NY,Mount Vernon,2 South Sixth Avenue
NY,New York,Pier 25 Hudson River Greenway
NY,New York,Northwest Corner
NY,New York,"132-68 34th Avenue, New York, NY 11354"
NY,New York,New York. 
NJ,Teaneck,687 Larch Ave
NY,New York,Morningside Dr
NY,"Riverdale, Bronx",5521 Mosholu Avenue 
NY,New York,805 Ft. Washington Ave Margaret Corbin Circle
NY,Hastings-On-Hudson,8 Main St
NY,New York,158 E. 115th Street
NY,WHITESTONE,150-11 14th Avenue
NY,New York ,2149 Frederick Douglass Blvd
NY,White Plains,252 Bryant Avenue
NY,New York,803 181st St @ Fort Washington Avenue
NY,Larchmont,2444 Boston Post Road
NY,New York,80 Fifth Avenue Suite 1104
NJ,Teaneck,687 Larch Ave
NY,White Plains,82 Prospect St
NY,Tappan,32 Old Tappan Rd
NY,Sands Point,127 Middle Neck Rd
NY,New York,158 E 115th St
NY,Yonkers,Old Croton Aqueduct Trail
NY,New York,95 Delancey Street (On the corner of Delancey & Ludlow)
NY,White Plains,198 Central Avenue
NY,New York,123 W 115th St
NY,NYC,TBA
NY,Schenectady,93 W Campbell Rd
NY,Ballston Lake,9 Burning Bush Blvd
NY,Schenectady,3437 Carman Road
NY,Schenectady,2072 Curry Rd
NY,Latham,3 Lear Jet Ln
NY,Schenectady,811 N Brandywine Ave
NY,Albany,161 Washington Ave Ext
NY,Clifton Park,1668 U.S. 9
NY,Albany,1510 Central Ave Suite 107
NY,Colonie,2 Wall Street
NY,Bolton Landing,Lake Shore Dr
NY,Glens Falls,251 Glen Street
NY,Elmira,147 W Gray St
NY,Islandia, Johnson Avenue
NY,West Babylon,356A Sunrise Hwy
NY,Lindenhurst,131 S Smith St
NY,Brentwood,1795 Brentwood Rd 
NY,Deer Park,10 Dunton Avenue
NY,Farmingdale,875 Conklin St
NY,Lake Grove,143 Alexander Avenue
NY,Stony Brook,380 Nicholls Rd
NY,Smithtown,944 W Jericho Turnpike
NY,Stony Brook,2196 Nesconset Hwy
NY,St James,556 N Country Rd
NY,Great River,440 Montauk Hwy
NY,Bay Shore,135 East Main Street
NY,Smithtown ,"811 West Jericho Turnpike, suite 203-E"
NY,Lake Ronkonkoma,161 Rose Drive
NY,Lake Ronkonkoma,161 Rose Drive
NY,Huntington,1800 E Jericho Turnpike
NY,Middletown,"1 Galleria Drive, Middletown, NY"
NY,Dobbs Ferry,Dobbs Ferry Train Station
NY,Pleasantville,988 Bedford Rd
NY,Bronxville,"101 Pondfield Road West, 2nd Floor"
NY,Pleasantville,125 Phelps Way (route 117)
NY,Mount Vernon,2 South Sixth Avenue
NY,Hastings-On-Hudson,8 Main St
NY,White Plains,252 Bryant Avenue
CT,Greenwich,Send message to Organizer asking for the address
NY,White Plains,82 Prospect St
NY,Larchmont,2444 Boston Post Road
NY,Tappan,32 Old Tappan Rd
CT,Greenwich,259 east Putnam avenue
NY,Nyack,39 Hudson Ave
NY,Nyack,142 Main Street (corner of Franklin and Main - the entrance is off the rear parking lot)
NY,Ithaca,748 S Meadow St
NY,Saugerties,80 Patch Rd
NY,Kingston,55 Franklin St
NY,Kingston,65 St James St
PA,Philadelphia,4800 Grant Ave
NJ,Palmyra, Route 73 North
PA,Philadelphia,9389 Krewstown Rd.
NJ,Willingboro,429 John F Kennedy Way
PA,Morrisville,Cardinal Dr
PA,Bucks County,"400 N Oxford Valley Rd, Langhorne, PA 19047"
PA,Langhorne,301 E. Maple Ave
PA,Horsham,413 Avenue E
PA,Horsham,457 Easton rd
PA,Newtown,126 N. State St.
PA,Philadelphia,6901 Castor ave
PA,Bristol,4010 New Falls Rd
NJ,Pennsauken Township,1585 NJ-73
PA,"Huntingdon Valley, Pa 19006",1902 County Line Rd
PA,Richboro,990 2nd Street Pike
PA,Bensalem,2495 Street Rd
PA,Glenside,501 Easton Rd
PA,Langhorne,1262 Wood Lane  Ste 106/107
PA,Philadelphia,Zoom
PA,Philadelphia,Zoom
PA,Philadelphia,https://zoom.us/j/3820324647
PA,Philadelphia,https://zoom.us/j/3820324647
PA,Pittsburgh,2141 Mary St
PA,Pittsburgh,Eliza Furnace Trail
PA,Pittsburgh,1500 Washington Rd
PA,Pittsburgh,3101 Brereton St
PA,Pittsburgh,5401 Centre Avenue
PA,Pittsburgh,7604 Charleston Ave
PA,Pittsburgh,1435 Grandview Ave
PA,Verona,331 Penn St
PA,Pittsburgh,4909 Penn Ave. 
PA,Pittsburgh,4100 Library Rd #1
PA,Pittsburgh,425 Cinema Drive
PA,Munhall,510 E 10th Ave
PA,Munhall,510 E 10th Ave
PA,Pittsburgh,400 Cedar Avenue 
PA,North Versailles,356 Lincoln Highway
PA,Hellertown,824 Main Street
PA,Whitehall,3679 Eberhart Rd
PA,Catasauqua,840 Walnut St
PA,Whitehall,1401 Lehnert Rd
PA,Allentown,1801 South 12th Street
PA,Allentown,2835 Lehigh St
PA,Hellertown,735 Delaware Avenue
PA,Harrisburg,2300 Linglestown Rd
PA,Harrisburg,3943 Tecport Drive
PA,Harrisburg,1836 Green Street
PA,Camp Hill,3301 East Trindle Road
PA,Leola,23 E Main St
PA,Lancaster,123 Some St
PA,Lancaster,850 Olde Hickory Road
PA,Lancaster,9 W Grant St
PA,Pennsylvania,123 Website Street
PA,West Pittston,313 Wyoming Ave
PA,Wyomissing,1287 Penn Ave
PA,Wyomissing,1714 State Hill Rd
PA,York,123 at home avenue
PA,York,2252 Industrial Hwy
PA,York,2000 Loucks Rd
PA,Erie,1109 State St
PA,Douglassville,1028 Shed Rd
PA,Phoenixville,203 High Street
PA,Spring City,"20 E. Bridge Street, Suite 103"
PA,Boyertown ,124 N Chestnut 
PA,Pottstown,227 E High St
PA,Limerick,411 W Ridge Pike
PA,Spring City,"20 E. Bridge Street, Suite 103"
PA,Douglassville,1211 Benjamin Franklin Hwy
PA,Stowe,675 Constitution Ave
PA,Pottstown,https://zoom.us/j/3820324647
PA,Phoenixville,468 Nutt Rd
PA,State College,"State College, PA"
PA,Stevens,100 Museum Rd
PA,Stevens,100 Museum Rd
PA,Lebanon,1349 Cumberland St
PA,Hellertown,824 Main Street
PA,Whitehall,3679 Eberhart Rd
PA,Allentown,1801 South 12th Street
PA,Allentown,2835 Lehigh St
PA,Hellertown,735 Delaware Avenue
PA,Hanover,979 York St
PA,johnstown ,564 Central Ave
PA,Johnstown,116 Market Street
NJ,Hardwick,I-80
PA,Stroudsburg,1232 Totts Gap Hill Rd
NJ,Hardwick Township,Kittatinnies Region
PA,East Stroudsburg,401 Hollow Rd
PA,Stroudsburg,622 Main St
PA,Stroudsburg,344 Stroud Mall Rd
PA,Pennsylvania,Now
NJ,Bordentown,2401 Axe Factory Rd
NJ,Chesterfield ,410 Ellisdale Road
PA,Morrisville,Cardinal Dr
NJ,Hamilton Township,477 Jeremiah Ave
PA,Yardley,56 South Main Street
NJ,Trenton,50 Riverview Plaza
PA,Levittown ,4354 New Falls Road
NJ,Hamilton,"731 Highway 33, Suite 3"
NJ,Bordentown,18 E. Union Street 
PA,Bensalem,2780 Bristol Pike
PA,Newtown,126 N. State St.
NJ,Hamilton Township,80 Sculptors Way
PA,Bristol,4010 New Falls Rd
PA,Morrisville,26 Delaware Rim Dr
PA,Fairless Hills,980 Trenton Rd
PA,Yardley,82 East Afton Avenue
PA,Langhorne,1262 Wood Lane  Ste 106/107
NJ,Trenton,"354 S Broad St,"
PA,Yardley,82 E Afton Ave
PA,Kingston,500 3rd Avenue
PA,West Pittston,313 Wyoming Ave
