event_state,event_city,event_street
PA,Philadelphia ,1216 Chestnut
NJ,Palmyra, Route 73 North
NJ,Cherry Hill,1603 Kresson Rd
PA,Philadelphia,300 W Mt Pleasant Ave
PA,Philadelphia,Valley Green Rd
PA,Philadelphia,8400 Seminole St
PA,Philadelphia,Henry Ave and Livezey Lane 
PA,Philadelphia,zoom online
PA,Philadelphia,1701 John F Kennedy Boulevard
NJ,Cherry Hill,2100 Rte 70 W
NJ,Merchantville,36 W Maple Ave
PA,Philadelphia,N Christopher Columbus Blvd
PA,Philadelphia,2946 Island Ave
PA,Philadelphia,1102 Pine St
NJ,"Moorestown, NJ  08057",16 East Main St
NJ,Runnemede,Dettmar Terrace
PA,Philadelphia,S St Bridge
NJ,Pennsauken ,3376 Browning Rd
PA,Philadelphia,4842 Ridge Ave
NJ,Cherry Hill,1820 Old Cuthbert Road
PA,Philadelphia,4842 Ridge Ave
NJ,Voorhees,255 Echelon Road
PA,Narberth,1660 Oakwood Dr
PA,Philadelphia,1025 Arch St
PA,Philadelphia,6501 Castor Ave
NJ,Camden,422 Market Street
PA,Philadelphia,1606 Walnut Street
PA,Bala Cynwyd,281 Montgomery Ave.
PA,Philadelphia,254 S 12th St
NJ,Merchantville,10 W. Maple Ave
PA,Philadelphia,4426 Locust St
NJ,Cherry Hill,1100 Kings Highway North
NJ,Bellmawr,363 W Browning Rd
PE,Philadelphia,3899 Henry Ave
PA,Philadelphia ,705 S 5th St
NJ,Collingswood,Collings Avenue
NJ,Pennsauken Township,1585 NJ-73
PA,Philadelphia,1025 Arch Street
NJ,West Orange,253 Main St
NJ,West Orange,253 Main St
NJ,Ridgewood,14 Hope Street
NJ,Montclair,127 Valley Road
NJ,Lyndhurst,"420 Valley Brook Avenue, Lyndhurst 07071"
NY,New York,120 West 69th Street 
NY,New York,672 9th Ave
NJ,Columbia,89 Mount Pleasant Road
NJ,Secaucus,151 Front St
NY,New York,105th and Broadway 
NY,New York,626 10th Ave
NY,New York,Morningside Dr
NJ,Caldwell,326 Bloomfield Ave
NJ,Ridgewood,475 Grove Street
NY,New York,484 W 43rd St
NJ,Fairfield,118 US-46
NY,New York,2 West 64th Street (At Central Park West)
NY,New York,627 9th Ave
NY,New York,627 9th Avenue
NY,New York ,2149 Frederick Douglass Blvd
NJ,Fairview,394 Walker St
NJ,Jersey City,252 9th St
NY,Brooklyn,695 5th Ave
NY,New York,626 10th Ave
NY,New York,105th and Broadway 
NY,Brooklyn,620 Manhattan Ave
NJ,Secaucus,151 Front St
NJ,Columbia,89 Mount Pleasant Road
NY,New York,116 E 7th Street
NY,Brooklyn,75A 5th Ave
NY,New York,See Description Box for
NY,Astoria,3801 35th Ave
NY,Brooklyn,345 Adams St.
NY,New York,61 W 62nd St
NY,New York ,2149 Frederick Douglass Blvd
NY,New York,Virtual Online Meeting
NY,Manhattan,425 Avenue of the Americas (Sixth Avenue and 10th Street
NY,New York,939 Lexington Avenue (between E. 68th & E. 69th Streets)
NY,New York,433 E 6th St
NY,New York,247 West 36th Street 6th Floor
NY,New York,108 E 15th St
NJ,UNION CITY,507 43RD TS. 7th floor
NY,New York,76 W 3rd St
NY,New York,"55 East 52nd Street, New York, NY"
NY,New York,"56 West 45th Street, Suite 1703"
NY,New York,79 Franklin St
NY,New York,151 West 30th Street  3rd Floor (6-7th Aves) 
NY,New York,2 West 64th Street (At Central Park West)
NY,New York,599 Broadway
NJ,Teaneck,687 Larch Ave
NY,New York,191 Canal St
NY,New York,803 181st St @ Fort Washington Avenue
NY,Brooklyn,305 Schermerhorn St
NY,New York,213 West 58th Street
NY,New York,1601 Broadway
NJ,Lyndhurst,289 Stuyvesant Ave 2nd floor
NY,New York,25 W 31st street
NJ,Nutley,7 High St
NY,New York ,1601 Broadway 11th floor 
NY,New York,265 W 37th St
NY,New York,"920 3rd ave, 5th Floor"
NJ,Nutley,7 High St
NY,New York,500 8th ave 3rd fl
