Unnamed: 0,state,city,category,event_name,group_name,attendees,lat,lng,population,venue_event_link,event_state,event_city,event_street,Google_Map_Link,city_event_lat,city_event_lng
17,NJ,Trenton,Arts,ONE DAY ONLY - Free One Day Pass to Grounds For Sculpture for One Member,Central Jersey 56 Plus,1,40.2236,-74.7641,290716,https://www.meetup.com/CJ-56plus/events/275869354,NJ,Hamilton Township,80 Sculptors Way,https://www.google.com/maps/search/?api=1&query=40.236970%2C-74.719210,40.2041625,-74.6793244
18,NJ,Trenton,Arts,Secrets of the Battle of Princeton: History and Nature Walk,Secrets of the Battle of Princeton Tours,20,40.2236,-74.7641,290716,https://www.meetup.com/Secrets-of-the-Princeton-Battlefield-Tours/events/272652579,NJ,Princeton,500 Mercer St ,https://www.google.com/maps/search/?api=1&query=40.331272%2C-74.676640,40.3492744,-74.6592958
19,NJ,Trenton,Career & Business,"LBNA - FALLS, PA MEETS EVERY WEDNESDAY 12:30PM -01:30PM",Lower Bucks Networking Association Meetup Group,2,40.2236,-74.7641,290716,https://www.meetup.com/Lower-Bucks-Networking-Association-Meetup-Group/events/275723291,PA,Fairless Hills,980 Trenton Rd,https://www.google.com/maps/search/?api=1&query=40.187866%2C-74.828094,40.1795537,-74.8551644
20,NJ,Trenton,Career & Business,Join us for Breakfast and bring plenty of Business Cards!,LeTip of Newtown,1,40.2236,-74.7641,290716,https://www.meetup.com/LeTip-of-Newtown/events/275884163,PA,Yardley,82 East Afton Avenue,https://www.google.com/maps/search/?api=1&query=82+East+Afton+Avenue%2C+Yardley%2C+PA%2C+19067%2C+us,40.245664,-74.8459972
21,NJ,Trenton,Career & Business,Trenton Real Estate --- hear from talented local and national investors,Trenton Real Estate Hackers Meetup,2,40.2236,-74.7641,290716,https://www.meetup.com/Trenton-Real-Estate-Investors-Meetup/events/275867929,NJ,Trenton,"354 S Broad St,",https://www.google.com/maps/search/?api=1&query=354+S+Broad+St%2C%2C+Trenton%2C+NJ%2C+us,40.2170575,-74.7429463
23,NJ,Trenton,Career & Business,Free Hard Networking Group w/ 26 Members - Looking For New Members,Lower Bucks Business Connections,1,40.2236,-74.7641,290716,https://www.meetup.com/Lower-Bucks-Business-Connections/events/275863236,PA,Langhorne,1262 Wood Lane  Ste 106/107,https://www.google.com/maps/search/?api=1&query=1262+Wood+Lane++Ste+106%2F107%2C+Langhorne%2C+PA%2C+us,40.1745538,-74.9226665
24,NJ,Trenton,Career & Business,Letip of Newtown,Philly Biz Connects,1,40.2236,-74.7641,290716,https://www.meetup.com/phillybizconnects/events/275884152,PA,Yardley,82 E Afton Ave,https://www.google.com/maps/search/?api=1&query=40.244896%2C-74.836647,40.245664,-74.8459972
25,NJ,Newark,Outdoors & Adventure,Hoboken Critical Mass Light Up The Night Bike Tour,Hoboken Bicycling Meetup,11,40.7245,-74.1725,282011,https://www.meetup.com/Hoboken-Bicycling-Meetup/events/275420479,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/?api=1&query=901+Park+Ave%2C+901+Park+Ave%2C+Hoboken%2C+NJ%2C+07030%2C+us&query_place_id=ChIJyS2VDmJXwokR-pkTQhFPc6Q,40.7433066,-74.0323752
26,NJ,Newark,Outdoors & Adventure,Critical Mass NYC / NJ - January 2021,Critical Mass NYC / NJ,4,40.7245,-74.1725,282011,https://www.meetup.com/Critical-Mass-NYC-NJ/events/274151373,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/?api=1&query=40.747830%2C-74.030460,40.7433066,-74.0323752
27,NJ,Newark,Outdoors & Adventure,"First Sunday of the month, a joint walk with Everwalk (may use for Kennedy50)",FreeWalkers,4,40.7245,-74.1725,282011,https://www.meetup.com/FreeWalkers/events/275895708,NE,Jersey City,1 Audrey Zapp Dr,https://www.google.com/maps/search/?api=1&query=40.708190%2C-74.038210,40.7281575,-74.0776417
29,NJ,Newark,Outdoors & Adventure,GV Hoboken Climbing Session,Hudson County Indoor Rock Climbing,3,40.7245,-74.1725,282011,https://www.meetup.com/hudson-county-indoor-rock-climbing/events/275892333,NJ,Hoboken ,1423 Clinton Street ,https://www.google.com/maps/search/?api=1&query=40.754820%2C-74.030050,40.7433066,-74.0323752
30,NJ,Newark,Outdoors & Adventure,"Newark Community Cycling Group Ride. This is a non-drop ride, discover NEWARK ",Outdoor Adventure Sports,1,40.7245,-74.1725,282011,https://www.meetup.com/outdooradventuresports/events/275895919,NJ,Newark,14 Rector Street,https://www.google.com/maps/search/?api=1&query=14+Rector+Street%2C+Newark%2C+nj%2C+07102%2C+us,40.735657,-74.1723667
31,NJ,Newark,Outdoors & Adventure,Eagle Rock Reservation bring a newbie beginner 4-5 miles,Trail Shrinks,32,40.7245,-74.1725,282011,https://www.meetup.com/trailshrinks/events/275798719,NJ,West Orange,Crest Dr,https://www.google.com/maps/search/?api=1&query=40.810840%2C-74.234490,40.7987113,-74.2390353
32,NJ,Newark,Outdoors & Adventure,Volunteer Trip - Paddle North - 6 mile round trip,Hoboken Cove Community Boathouse,3,40.7245,-74.1725,282011,https://www.meetup.com/Hoboken-Cove-Community-Boathouse/events/275865290,NJ,Hoboken,Frank Sinatra Dr,https://www.google.com/maps/search/?api=1&query=40.748386%2C-74.024025,40.7433066,-74.0323752
34,NJ,Newark,Outdoors & Adventure,Monthly meeting and Trip planning,New York Caving Meetup Group,6,40.7245,-74.1725,282011,https://www.meetup.com/New-York-Cavers/events/275376807,NY,New York,  569 Hudson St,https://www.google.com/maps/search/?api=1&query=40.735905%2C-74.006180,40.7127281,-74.0060152
35,NJ,Newark,Outdoors & Adventure,Hudson Walkway Loop/Reese Park Social Distancing 6 Mile Hike/Walk,"New York Hikes, Happy Hours & Outdoor Adventures",2,40.7245,-74.1725,282011,https://www.meetup.com/New-York-Hikes-Happy-Hours-and-Outdoor-Adventures/events/275555724,NY,New York,Your Guide will meet you when you get out from the train at Poughkeepsie,https://www.google.com/maps/search/?api=1&query=Your+Guide+will+meet+you+when+you+get+out+from+the+train+at+Poughkeepsie%2C+New+York%2C+NY%2C+us,40.7127281,-74.0060152
36,NJ,Newark,Outdoors & Adventure,Private Social Distancing NYC Subways & Stations History Tour,SINGLES TRAVEL AND ADVENTURE!,1,40.7245,-74.1725,282011,https://www.meetup.com/SINGLES-TRAVEL-AND-ADVENTURE/events/275555362,NY,New York,"416 8th ave, Corner of 31st",https://www.google.com/maps/search/?api=1&query=40.750084%2C-73.994670,40.7127281,-74.0060152
39,NJ,Newark,Family,West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,40.7245,-74.1725,282011,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353
40,NJ,Newark,Family,Sunday Morning Prenatal Yoga,West Orange Pregnancy Meetup,1,40.7245,-74.1725,282011,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275824180,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353
41,NJ,Newark,Family,My Gym Little Bundles Classes,JCFamilies,1,40.7245,-74.1725,282011,https://www.meetup.com/JCFamilies/events/275886037,NJ,Jersey City,252 9th St,https://www.google.com/maps/search/?api=1&query=My+Gym+Jersey+City%2C+252+9th+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJ4zCr0U1XwokRIuPy2hdo2Yo,40.7281575,-74.0776417
44,NJ,Newark,Learning,Jolly January,Humorous Toastmasters,3,40.7245,-74.1725,282011,https://www.meetup.com/Toastmasters-New-York/events/275917096,NY,New York,Online,https://www.google.com/maps/search/?api=1&query=Online%2C+New+York%2C+ny%2C+10001%2C+us,40.7127281,-74.0060152
